sid,loam,mm,fm,ac,eebm,bswa,mwsm,mana,pom,hrm,erem,sta,stb,ines,cala,calb,ec,pjm,pjmp
SD1020907,1,85,83,85,99,97,89,82,94,83,85,99,98,87,90,90,99,92,92
SD1020908,0,74,70,88,98,92,74,78,80,76,73,85,95,82,93,98,94,73,92
SD1020909,0,86,84,80,99,81,89,76,86,97,86,97,98,87,74,70,85,91,94
SD1020910,0,78,60,66,63,73,84,72,82,86,71,78,91,84,66,71,81,72,94
SD1020911,0,74,75,65,99,70,65,72,78,88,0,73,69,60,64,74,87,76,94
SD1020912,1,74,64,73,99,91,83,76,86,88,76,72,81,88,80,91,83,89,94
SD1020913,0,75,70,79,99,81,77,76,82,79,69,83,78,86,90,91,78,78,94
SD1020914,1,85,95,86,99,98,89,82,89,97,85,90,99,87,74,89,96,95,94
SD1020915,1,82,84,94,99,92,85,81,88,88,87,94,93,87,74,93,93,90,94
SD1020916,1,73,60,85,99,96,89,78,74,73,74,68,84,88,66,84,90,80,88
SD1020917,0,80,76,85,99,83,80,78,83,92,84,81,86,87,76,78,84,79,93
SD1020918,0,81,80,94,99,97,89,79,89,92,92,85,97,87,81,91,94,89,94
SD1020920,0,70,60,72,99,70,70,79,80,78,71,70,70,88,60,72,80,71,94
SD1020921,0,78,60,75,99,87,80,71,83,88,74,72,64,84,88,81,77,78,94
SD1020923,0,78,89,83,99,98,95,75,85,96,87,91,92,84,88,92,91,90,94
SD1020924,0,77,80,71,99,81,89,67,81,92,70,72,72,79,80,71,74,75,92
SD1020925,0,77,80,91,99,72,89,77,85,90,83,68,81,87,82,77,80,84,94
SD1020926,0,79,84,84,99,97,95,77,92,96,87,82,81,87,91,90,86,95,94
SD1020927,1,74,52,82,99,76,69,68,64,74,71,98,71,77,93,60,84,70,91
SD1020928,1,76,76,83,99,76,89,75,79,86,69,60,60,88,85,71,86,84,91
SD1020929,0,75,0,82,99,73,74,75,88,0,0,91,81,0,74,66,83,86,0
SD1020930,0,73,64,72,91,88,89,67,60,83,68,51,71,78,72,73,82,68,92
SD1020931,0,78,65,79,99,71,87,72,83,86,74,78,78,85,94,83,83,79,94
SD1020932,0,78,68,77,99,74,89,77,69,78,75,62,72,88,65,94,89,88,91
SD1020933,0,67,71,67,99,84,87,79,75,84,69,70,76,84,70,80,84,73,94
SD1020935,0,79,51,79,96,81,85,67,68,80,74,60,42,81,70,84,79,72,88
SD1020936,0,75,80,78,97,71,89,67,76,91,81,64,74,82,67,70,70,78,94
SD1020937,0,75,70,73,95,94,85,67,72,78,62,79,77,81,90,80,68,69,90
SD1020938,0,74,60,74,99,74,91,67,60,87,72,67,68,82,82,80,85,71,94
SD1020939,1,71,60,72,99,78,76,71,70,86,75,60,63,82,80,70,94,72,90
SD1020940,0,74,67,68,99,94,81,74,79,84,69,73,64,88,76,71,82,76,94
SD1020941,0,73,60,68,98,84,82,74,77,83,69,60,45,86,72,61,64,70,92
SD1020942,0,74,66,72,99,98,87,74,75,89,68,71,51,88,73,70,80,73,94
SD1020943,1,78,77,75,99,90,87,68,83,91,68,71,79,82,73,77,69,79,94
SD1020944,1,76,60,74,98,71,79,74,67,84,75,67,83,81,74,77,69,74,92
SD1020945,0,84,93,100,99,98,95,79,98,97,81,99,99,85,77,89,93,96,94
SD1020946,0,74,70,69,99,83,89,81,72,84,75,70,50,82,55,71,80,73,94
SD1020947,0,82,84,78,99,75,80,75,85,85,79,63,63,83,78,70,79,76,94
SD1020948,0,79,77,71,99,90,95,73,86,88,75,88,81,88,80,88,83,84,94
SD1020950,1,69,40,73,85,65,78,67,73,82,73,60,38,85,62,60,63,71,92
SD1020951,0,71,60,77,99,82,80,70,78,79,71,60,64,81,62,81,81,74,94
SD1020952,0,69,68,84,79,70,80,74,71,76,50,39,0,76,73,31,69,81,91
SD1020953,1,79,67,67,99,66,76,66,83,75,79,40,50,75,73,66,70,76,91
SD1020954,0,74,70,81,99,87,74,77,68,62,73,73,62,88,78,68,85,71,84
SD1020955,1,73,74,85,99,80,87,71,69,84,69,73,50,88,83,68,78,67,91
SD1020956,0,70,60,67,86,71,72,71,69,79,75,60,37,86,60,30,84,79,88
SD1020957,0,77,63,73,99,73,77,68,79,83,70,60,50,88,74,60,61,75,90
SD1020958,1,71,63,60,99,67,81,67,79,68,71,53,25,88,75,63,79,74,83
SD1020959,0,74,50,72,82,87,85,72,71,82,75,60,42,85,67,60,68,80,85
SD1020960,1,79,64,74,71,81,87,65,70,76,80,71,68,85,76,81,66,70,93
SD1020961,1,78,0,85,91,74,84,67,81,0,0,70,73,0,64,80,88,78,0
SD1020964,0,80,82,84,94,98,95,81,83,75,87,97,94,86,81,80,87,76,88
SD1020965,0,60,60,66,60,70,60,53,61,0,45,60,31,0,0,0,0,62,74
SD1020969,0,80,65,60,75,83,0,78,75,88,79,80,90,85,65,68,78,75,68
SD1020972,0,87,98,95,99,99,80,75,85,88,60,75,86,94,70,80,68,91,92
SD1020973,0,80,97,98,99,99,95,81,84,86,76,78,97,96,71,94,66,86,94
SD1020974,1,97,88,97,99,99,95,99,97,97,96,94,99,99,98,97,92,99,88
SD1020975,1,81,70,91,99,89,76,82,77,79,82,91,83,92,92,88,45,78,86
SD1020976,1,84,77,60,99,99,87,82,81,89,86,63,69,94,88,90,67,91,87
SD1020978,0,87,71,85,99,99,87,85,77,83,89,86,83,89,73,72,79,91,82
SD1020979,1,77,61,87,99,97,67,77,78,80,70,67,66,87,80,82,69,84,83
SD1020980,1,82,96,100,99,95,83,81,88,88,79,80,89,92,72,90,86,89,92
SD1020981,0,87,90,87,99,99,87,89,88,79,73,91,99,85,89,91,81,88,90
SD1020983,0,85,96,74,99,85,74,70,81,89,67,70,68,99,67,64,70,94,92
SD1020984,1,88,78,89,99,99,89,93,83,92,75,92,91,97,88,88,82,92,91
SD1020985,0,86,82,81,99,80,83,72,77,82,70,61,50,90,85,73,66,80,86
SD1020986,0,85,69,99,99,84,81,97,86,87,77,79,94,97,78,91,72,87,87
SD1020987,1,84,95,92,99,80,76,84,83,83,79,65,90,92,80,85,62,86,93
