sid,loam,mm,ac,eebm,bswa,mwsm,mana,pom,sta,stb,cala,calb,ec,pjm
SD1030908,0,89,91,99,94,71,75,93,77,99,64,70,94,95
SD1030909,0,82,69,99,84,81,71,91,93,72,75,86,92,84
SD1030910,0,82,78,84,80,72,70,77,79,68,70,65,89,95
SD1030911,0,72,60,62,84,77,68,82,55,45,65,50,72,46
SD1030913,1,73,80,73,86,91,72,87,82,67,83,73,97,73
SD1030914,0,88,72,96,92,72,71,89,69,62,63,73,90,93
SD1030915,0,85,92,99,90,84,71,99,95,83,82,82,92,93
SD1030916,0,78,81,99,92,99,66,84,98,65,65,76,84,95
SD1030917,0,86,80,99,84,86,64,95,80,92,73,82,91,95
SD1030919,1,83,88,99,93,83,77,99,78,80,72,81,85,90
SD1030920,0,86,73,99,89,67,66,81,72,85,77,80,74,99
SD1030921,0,92,77,99,94,87,68,84,70,62,73,63,69,78
SD1030922,0,95,79,99,91,94,74,83,82,55,80,70,85,95
SD1030923,0,88,79,99,86,84,68,80,68,55,80,73,81,98
SD1030924,1,89,75,95,83,67,69,76,55,65,60,62,71,61
SD1030925,0,70,69,87,87,94,73,74,53,51,40,60,71,60
SD1030926,1,97,60,99,82,60,70,79,55,55,63,61,75,91
SD1030927,0,85,90,99,94,81,72,90,80,77,71,81,89,95
SD1030928,0,80,87,88,86,86,67,81,70,64,70,67,76,90
SD1030929,1,92,82,98,85,84,70,74,55,90,50,75,72,90
SD1030930,0,30,74,60,80,60,64,31,55,26,74,50,81,20
SD1030931,1,89,90,99,84,91,75,89,81,81,71,70,88,95
SD1030932,0,88,67,82,78,85,68,69,63,41,76,60,73,81
SD1030933,1,84,71,92,83,60,73,82,70,52,66,60,74,82
SD1030934,1,71,86,93,85,85,74,89,88,78,88,91,99,93
SD1030935,0,97,84,99,90,97,74,81,70,67,71,67,85,84
SD1030936,1,88,75,99,85,84,60,85,66,71,70,82,83,84
SD1030937,1,78,78,74,89,84,65,76,86,68,74,62,87,85
SD1030938,0,91,83,99,88,84,73,99,87,82,80,83,92,95
SD1030939,0,90,72,99,93,73,75,95,75,72,60,60,75,85
SD1030940,0,91,88,99,85,84,72,95,68,74,71,73,86,91
SD1030942,0,10,62,38,91,61,65,20,55,37,53,50,74,30
SD1030943,1,91,60,99,86,60,66,99,95,98,87,90,72,93
SD1030944,0,91,85,88,84,89,68,90,79,76,77,75,88,96
SD1030945,0,93,91,99,91,98,75,99,99,99,91,98,96,95
SD1030946,0,95,65,99,91,60,60,99,55,55,80,60,67,95
SD1030947,0,95,78,99,92,96,69,95,81,71,65,65,84,78
SD1030948,0,87,85,99,88,91,67,93,77,71,75,76,77,63
SD1030949,1,69,71,72,80,60,60,60,55,55,81,60,69,77
SD1030952,0,73,74,89,84,76,68,71,62,43,60,50,79,82
SD1030953,0,84,60,93,82,60,69,63,55,50,71,50,77,78
SD1030954,1,88,73,99,92,87,68,82,71,72,67,74,86,88
SD1030955,0,23,76,30,82,67,62,36,67,36,68,61,77,30
SD1030956,0,91,85,99,91,85,75,96,83,77,85,80,85,95
SD1030957,1,74,76,64,86,60,60,60,54,24,65,52,84,23
SD1030960,1,91,92,99,93,89,73,99,99,99,89,88,94,93
SD1030961,0,88,60,90,85,80,66,86,67,39,63,70,77,89
SD1030967,0,93,84,99,0,84,90,85,80,0,81,81,94,70
SD1030968,0,67,80,64,0,80,68,60,72,85,67,60,78,60
SD1030976,0,74,86,99,94,88,90,99,94,97,93,82,91,91
SD1030977,0,60,94,97,24,70,82,93,61,40,61,67,65,81
SD1030979,0,85,83,99,100,88,87,99,98,84,95,91,86,86
SD1030980,1,72,83,99,100,69,87,91,79,68,70,71,92,88
SD1030981,0,73,99,99,100,96,87,98,90,75,73,74,85,92
SD1030982,1,76,93,99,94,88,94,88,52,66,60,70,90,86
SD1030983,1,66,87,87,80,65,78,98,64,64,65,66,79,84
SD1030984,0,76,98,99,100,96,95,99,88,88,83,74,80,88
SD1030985,1,74,93,99,100,81,91,89,76,70,70,80,79,91
SD1030986,1,66,68,98,84,60,81,68,74,55,60,60,75,72
SD1030987,0,86,100,99,100,97,97,99,97,98,91,94,94,85
SD1030988,0,73,78,99,94,84,93,95,76,60,74,74,84,86
SD1030989,0,71,92,93,67,66,70,76,55,51,74,71,82,89
SD1030990,1,66,64,92,80,64,83,85,55,29,60,60,82,88
SD1030991,0,67,85,90,62,67,82,70,55,44,60,51,65,77
SD1030992,0,81,80,99,100,81,85,92,69,68,77,67,88,84
SD1030993,1,76,74,71,92,19,74,60,51,55,68,63,89,73
SD1030994,0,60,86,85,76,83,84,72,88,87,87,78,87,78
SD1030995,0,60,78,94,69,85,81,60,65,69,60,62,81,79
SD1030996,1,68,96,67,100,76,79,93,74,76,66,71,89,75
SD1030997,0,60,74,86,70,71,76,60,55,55,70,75,65,80
SD1030998,0,67,81,93,83,76,80,94,69,62,66,82,79,82
SD1030999,0,70,79,96,98,86,90,80,82,67,60,62,75,69
SD1031000,0,53,36,60,94,33,60,27,60,25,65,40,66,28
SD1031001,0,62,92,96,100,83,86,87,83,62,62,66,83,76
SD1031002,0,72,84,96,90,72,81,95,72,64,70,67,86,71
SD1031003,1,66,84,90,75,69,74,60,55,46,60,64,67,65
SD1031004,0,60,70,60,63,38,70,60,53,27,74,75,82,71
SD1031005,0,80,71,99,79,79,89,85,70,60,60,75,86,87
SD1031006,0,61,47,93,60,60,77,60,55,44,67,71,65,77
SD1031007,0,73,89,92,94,80,91,99,86,76,73,71,73,84
SD1031008,0,72,75,99,100,81,88,93,67,55,63,72,79,79
SD1031010,0,78,79,99,76,69,81,98,64,55,74,68,84,85
SD1031011,1,72,86,99,97,81,98,99,75,77,66,73,87,92
SD1031012,0,65,100,88,98,86,84,95,69,65,63,66,82,80
SD1031013,1,70,73,74,76,60,75,82,66,52,68,63,80,78
SD1031014,0,66,96,99,96,71,84,87,83,64,80,62,85,74
SD1031015,0,68,87,99,77,71,84,81,55,55,70,66,73,75
SD1031016,1,54,86,69,60,60,72,60,55,33,77,76,76,60
SD1031017,0,62,69,99,100,88,92,74,67,62,60,63,70,66
SD1031018,1,66,89,99,87,88,86,89,78,80,66,68,94,86
SD1031019,0,66,71,79,74,60,76,64,70,55,67,72,83,72
SD1031020,0,62,81,85,98,80,86,86,66,60,70,74,80,75
SD1031021,0,63,49,60,74,67,80,63,55,50,64,70,70,75
SD1031022,0,85,97,99,96,88,96,99,86,84,82,90,94,85
SD1031023,0,84,88,99,94,75,89,99,86,78,80,86,98,83
SD1031024,1,73,87,99,100,76,96,99,87,85,84,70,100,96
SD1031025,1,60,68,90,96,36,77,61,49,38,62,50,63,54
SD1031027,0,77,80,98,92,69,89,95,83,54,80,80,79,85
SD1031028,1,81,74,97,94,68,92,68,49,0,60,67,74,79
SD1031029,0,62,72,87,61,29,73,60,54,50,76,77,94,76
SD1031030,0,78,93,99,94,79,96,88,67,65,66,68,88,94
SD1031031,0,79,87,99,89,97,0,99,96,78,94,79,85,60
SD1031032,1,83,81,83,80,86,86,80,87,91,74,93,86,65
SD1031033,0,67,77,89,88,80,76,82,76,78,87,76,84,64
SD1031327,0,67,74,61,82,79,85,84,61,65,61,70,78,75
