sid,loam,bswa,sta,ec,care
SD1040845,0,91,91,91,94
SD1040846,1,90,72,87,89
SD1040847,0,87,91,83,94
SD1040848,0,88,79,77,94
SD1040849,0,81,45,70,82
SD1040850,0,76,70,77,89
SD1040851,0,72,55,76,76
SD1040852,0,89,83,82,94
SD1040853,0,83,65,84,84
SD1040854,1,83,81,85,94
SD1040855,0,81,75,82,94
SD1040856,1,87,66,76,89
SD1040857,0,92,85,85,94
SD1040858,1,84,72,72,89
SD1040859,0,84,71,79,89
SD1040860,0,87,55,77,94
SD1040861,0,89,53,73,94
SD1040862,1,91,81,78,94
SD1040863,0,81,55,80,94
SD1040864,1,84,55,65,78
SD1040865,0,80,52,80,94
SD1040866,0,76,43,76,89
SD1040867,0,85,70,80,94
SD1040868,0,83,71,80,87
SD1040869,1,90,81,83,94
SD1040870,0,76,55,70,89
SD1040871,1,81,46,72,89
SD1040872,0,77,48,73,75
SD1040873,0,82,65,85,82
SD1040874,0,83,79,82,94
SD1040875,0,85,65,79,89
SD1040876,0,85,66,78,94
SD1040877,0,82,53,68,94
SD1040878,0,80,62,75,94
SD1040879,0,86,72,65,89
SD1040880,0,82,73,76,94
SD1040881,0,92,97,96,94
SD1040882,0,87,84,83,94
SD1040883,0,60,41,65,80
SD1040885,0,82,65,65,62
SD1040886,0,75,49,82,94
SD1040887,1,89,62,83,89
SD1040888,1,85,55,67,84
SD1040889,1,74,45,81,82
SD1040890,0,85,81,84,87
SD1040891,1,85,67,77,94
SD1040892,1,76,63,78,87
SD1040893,0,86,78,86,94
SD1040895,0,76,46,73,94
SD1040896,0,87,82,77,94
SD1040897,0,76,49,70,83
SD1040898,0,79,65,80,67
SD1040900,0,87,88,95,94
SD1040904,0,89,69,84,84
SD1040905,0,93,99,100,100
SD1040906,1,91,75,78,88
SD1040907,0,87,66,81,81
SD1040908,1,90,72,87,85
SD1040909,1,90,60,66,74
SD1040910,0,83,86,91,98
SD1040911,1,90,71,82,81
SD1040912,1,84,68,91,93
SD1040913,0,88,79,88,97
SD1040914,0,88,63,78,85
SD1040915,0,91,64,88,83
SD1040916,0,88,77,91,100
SD1040917,0,81,54,97,84
SD1040918,0,83,71,84,76
SD1040919,0,87,71,60,86
SD1040920,0,74,43,69,69
SD1040921,0,84,55,89,67
SD1040923,0,89,62,80,92
SD1040924,1,88,37,62,88
SD1040925,1,91,65,71,87
SD1040926,1,80,47,69,66
SD1040927,1,79,47,94,75
SD1040928,0,84,62,87,73
SD1040929,1,93,94,97,100
SD1040930,1,91,68,91,100
SD1040931,1,90,73,93,84
SD1040932,1,91,73,100,94
SD1040933,1,93,86,77,60
SD1040934,0,79,71,76,84
SD1040935,0,88,52,72,79
SD1040936,1,89,76,91,97
SD1040937,0,87,73,85,77
SD1040938,1,81,16,51,69
SD1040939,1,90,77,86,94
SD1040940,0,83,49,76,64
SD1040941,0,83,80,70,83
SD1040942,1,76,48,74,64
SD1040943,0,88,52,76,87
SD1040945,1,84,55,71,60
SD1040946,0,85,55,100,84
SD1040947,0,91,64,99,95
SD1040948,1,82,48,84,74
SD1040949,0,90,80,89,92
SD1040951,0,88,74,83,92
SD1040952,0,83,21,33,69
SD1040953,0,76,39,78,77
SD1040954,0,82,86,84,73
