sid,loam,itdc,mana,eci,buetc,cala,calb,sta,stb,eca,ecb,ecmi,ecma,myba,mybb,imaca,imacb,inap,ecp,claw,bula,bulb,fma,fmb,ivm,inse,insep,ivpm,filice
SD970332 ,0,73,72,82,79,75,69,61,63,63,60,70,75,68,72,64,60,85,86,88,87,72,60,69,66,85,82,63,63
SD970333 ,0,83,74,91,93,60,70,65,81,60,61,60,86,80,70,75,60,87,97,85,80,89,74,90,93,83,84,80,100
SD970334 ,0,78,69,76,75,78,61,60,66,60,63,67,75,68,70,79,61,69,71,81,70,77,73,71,69,79,85,60,90
SD970335 ,1,92,87,85,93,81,85,75,87,75,75,73,81,89,70,88,86,83,87,96,88,80,80,92,88,79,88,82,90
SD970336 ,0,82,75,82,80,75,78,74,66,69,60,73,72,78,64,76,76,75,84,94,70,76,60,71,61,85,88,63,69
SD970337 ,0,95,84,92,93,84,85,78,81,68,66,85,81,82,77,90,92,93,98,96,80,74,71,90,89,89,86,87,100
SD970338 ,0,85,74,78,78,79,75,79,78,75,65,61,72,79,80,79,70,83,82,94,71,78,71,90,87,83,84,86,90
SD970339 ,1,76,65,79,92,82,62,60,91,78,63,60,81,83,73,86,63,82,79,84,73,82,65,73,69,76,84,63,66
SD970340 ,0,78,70,85,89,61,67,69,79,71,67,67,69,79,78,86,60,84,86,82,66,68,75,88,74,85,84,73,95
SD970341 ,0,96,71,81,83,61,35,40,42,68,60,61,75,79,72,75,60,81,88,87,66,70,46,64,69,87,87,71,66
SD970342 ,0,84,73,86,93,78,75,68,86,74,64,76,75,93,73,79,91,81,93,82,80,70,77,89,83,86,89,83,100
SD970343 ,0,82,60,76,80,75,81,66,60,61,60,52,77,76,60,79,64,89,69,76,70,77,71,65,60,83,79,60,90
SD970344 ,1,79,66,78,83,49,60,60,35,75,60,70,63,77,66,61,60,72,78,84,60,66,60,60,62,87,84,62,0
SD970345 ,0,88,77,86,93,60,39,60,71,61,60,63,72,81,81,89,82,92,93,85,93,76,70,83,94,84,82,81,90
SD970346 ,1,89,70,72,93,75,75,68,66,67,69,79,84,77,75,67,67,79,90,88,82,85,74,85,73,87,82,78,90
SD970347 ,1,86,82,78,79,71,60,60,68,66,62,76,93,79,78,83,86,88,95,89,70,81,61,80,63,86,88,60,69
SD970348 ,0,76,74,78,85,74,69,62,78,71,60,76,80,75,76,86,80,86,86,93,70,78,74,91,73,83,78,65,0
SD970349 ,1,90,79,84,75,71,70,45,60,71,65,73,69,76,60,85,82,91,81,92,80,79,60,73,69,83,74,60,18
SD970350 ,0,86,88,92,93,78,67,73,93,64,68,64,84,78,79,90,81,91,96,94,89,81,74,89,93,84,88,90,95
SD970351 ,0,91,78,61,76,43,60,43,62,60,60,60,72,71,77,54,69,75,83,97,70,74,60,68,61,66,84,63,0
SD970352 ,0,85,71,75,71,81,67,60,75,68,61,76,90,75,65,84,82,78,61,92,66,75,73,73,62,87,65,60,0
SD970353 ,0,93,82,96,93,86,97,85,100,78,66,79,81,83,77,96,97,91,100,93,88,90,79,87,96,89,85,88,100
SD970354 ,1,81,81,91,93,76,80,74,71,71,67,76,75,78,74,91,88,84,93,95,91,87,78,83,90,85,89,74,95
SD970355 ,0,93,86,87,93,85,76,75,66,74,71,76,69,80,80,92,77,86,85,95,93,86,72,82,79,85,85,69,69
SD970356 ,1,83,85,87,93,78,80,81,76,70,67,82,90,82,83,57,93,85,94,94,90,71,75,91,95,85,89,86,100
SD970357 ,1,80,76,75,75,82,83,72,60,73,60,61,77,71,73,76,77,74,80,92,70,80,52,70,66,82,88,60,36
SD970358 ,0,89,76,90,85,80,85,60,80,73,60,72,75,86,84,83,76,91,92,95,83,83,70,81,62,81,81,69,0
SD970359 ,0,79,77,73,84,62,77,69,73,68,65,67,66,80,82,73,68,83,84,88,70,81,60,85,73,85,82,63,90
SD970360 ,0,100,79,93,93,77,72,68,95,67,63,69,77,79,77,91,83,91,94,94,90,82,75,90,95,89,84,78,100
SD970361 ,0,96,75,91,93,83,76,81,81,71,67,76,81,89,76,98,87,88,96,95,88,81,80,82,88,83,82,85,90
SD970362 ,0,91,70,93,92,88,85,60,87,65,67,60,69,71,76,88,83,88,87,91,81,86,69,90,93,86,85,86,95
SD970363 ,0,88,87,83,93,87,81,81,75,82,76,88,90,86,74,82,83,89,90,91,90,76,74,83,80,87,86,79,66
SD970364 ,1,85,90,90,93,87,88,91,91,77,64,79,84,93,79,90,84,86,99,97,94,84,77,85,97,89,91,86,100
SD970365 ,0,94,73,82,93,85,70,70,71,70,62,70,90,83,76,82,78,83,90,84,83,79,79,88,80,87,82,83,95
SD970366 ,0,83,74,75,75,60,67,68,60,67,71,67,78,79,75,63,63,86,68,90,75,77,72,80,69,84,73,60,90
SD970367 ,0,87,70,80,93,64,81,60,70,71,64,73,72,80,75,76,60,84,90,79,84,73,77,81,75,87,75,64,69
SD970368 ,0,100,87,95,93,86,97,92,99,78,70,61,87,91,85,96,99,89,100,94,90,87,86,98,96,81,87,91,100
SD970369 ,1,86,69,76,87,80,73,71,79,78,63,73,72,81,79,83,81,76,89,78,63,67,75,75,78,85,88,73,90
SD970370 ,0,89,76,83,79,71,60,49,60,71,62,67,66,75,75,82,73,88,85,80,70,74,63,80,60,84,86,67,90
