sid,loam,pjm,ines,cala,calb,sta,stb,eca,ecb,ecmi,ecma,myba,mybb,imaca,imacb,claw,bula,bulb,fma,fmb,ivm,inse,insep,ivpm
SD980350 ,0,91,92,95,95,99,100,62,64,87,89,85,91,68,93,82,90,96,78,81,83,87,76,77
SD980351 ,0,81,95,90,88,95,100,76,77,95,85,84,92,81,97,81,91,95,75,93,92,93,85,85
SD980352 ,1,67,91,73,67,60,60,44,41,81,74,71,72,62,65,66,79,90,60,60,72,73,70,66
SD980353 ,0,75,91,82,77,76,78,76,73,89,79,79,77,95,96,84,88,82,82,98,79,85,71,66
SD980354 ,1,76,91,67,70,80,69,63,73,82,79,78,81,81,98,80,88,89,77,72,78,87,74,68
SD980355 ,1,61,75,60,35,50,18,62,73,68,63,80,69,73,69,74,84,86,70,50,4,73,72,55
SD980356 ,0,77,88,71,64,81,94,66,62,87,83,80,85,94,89,75,87,85,79,84,76,85,68,76
SD980357 ,1,79,77,60,64,68,77,64,82,93,70,81,81,80,90,80,89,90,80,89,71,77,83,66
SD980358 ,0,86,91,71,68,76,95,73,81,81,83,86,92,91,96,86,93,94,78,91,82,83,80,71
SD980359 ,1,88,90,61,60,85,85,60,62,86,81,76,83,96,86,76,88,87,78,88,77,91,83,83
SD980360 ,0,79,89,73,68,85,67,67,71,87,76,71,86,86,77,69,90,90,74,75,80,75,75,73
SD980361 ,1,88,92,80,65,77,84,72,76,89,81,88,84,91,84,65,84,87,76,89,77,77,77,79
SD980362 ,0,86,92,97,98,95,82,89,99,91,86,88,83,99,98,82,90,90,95,100,83,79,78,86
SD980364 ,0,80,91,70,66,88,73,76,72,79,84,78,82,92,90,77,88,89,80,84,80,84,69,66
SD980365 ,0,55,79,39,7,60,31,65,42,73,0,61,0,84,78,68,70,84,60,1,60,61,62,60
SD980366 ,0,69,87,29,7,63,60,63,72,73,73,87,79,75,82,73,88,85,72,86,74,77,69,77
SD980367 ,1,75,89,67,64,64,76,62,73,72,77,81,77,79,72,66,81,80,73,72,68,70,73,72
SD980368 ,1,74,88,67,41,62,84,77,67,74,76,77,71,69,74,75,94,83,72,71,68,80,71,68
SD980369 ,1,84,93,79,79,71,67,70,74,91,77,89,78,87,94,81,89,91,73,74,80,85,89,77
SD980370 ,1,70,85,66,44,65,33,71,62,70,48,63,75,72,89,66,82,75,37,62,60,72,60,67
SD980371 ,0,77,87,60,60,84,77,72,69,88,78,85,84,79,90,77,91,95,71,85,81,84,89,82
SD980372 ,0,78,91,69,64,77,81,60,66,81,78,83,80,68,90,82,88,92,75,78,79,82,76,70
SD980373 ,0,81,92,83,90,97,92,70,75,94,90,75,91,94,99,82,93,93,87,87,88,86,82,91
SD980374 ,1,63,77,60,35,50,60,60,61,72,64,74,73,60,73,80,72,80,64,63,61,70,74,60
SD980375 ,1,71,85,76,73,83,92,71,67,86,78,60,87,78,84,85,91,86,65,86,83,81,76,78
SD980376 ,0,77,89,78,67,86,84,68,65,88,79,80,85,85,88,75,81,84,68,67,76,74,75,75
SD980377 ,1,71,78,89,31,68,42,77,42,76,51,80,69,67,62,82,79,84,70,72,68,68,76,68
SD980378 ,0,77,77,75,61,89,87,73,72,91,81,77,70,89,80,70,88,84,73,81,75,74,65,75
