sid,loam,pjm,ines,cala,calb,sta,stb,ec,ecmi,ecma,apec,myba,mybb,imaca,imacb,claw,bula,bulb,fma,fmb,ivm,inse,insep,ivpm
SD990348 ,0,87,87,77,79,96,89,79,76,84,68,85,67,87,94,85,88,92,83,100,98,88,86,97
SD990349 ,1,77,79,85,75,60,60,88,76,78,70,71,84,83,88,84,72,94,65,80,77,81,62,60
SD990350 ,1,62,85,72,62,69,66,84,71,60,81,80,73,72,73,83,72,92,71,90,77,79,76,82
SD990351 ,1,85,87,90,81,94,99,96,86,89,75,81,82,86,93,85,85,97,90,100,97,80,85,78
SD990352 ,0,73,76,60,60,34,37,40,70,68,69,79,60,60,77,87,50,70,26,40,89,61,50,67
SD990353 ,0,60,76,82,33,70,60,75,69,65,1,60,57,64,78,72,60,69,60,60,72,74,62,51
SD990354 ,1,64,83,89,67,70,60,72,70,74,70,67,79,71,73,89,75,89,60,41,69,75,64,57
SD990355 ,0,96,87,94,93,85,92,94,82,90,80,83,75,92,89,87,78,87,87,98,98,84,79,98
SD990356 ,1,64,84,55,53,65,60,87,60,60,62,70,69,75,81,89,70,80,60,60,69,62,78,66
SD990357 ,1,81,89,97,87,72,78,75,75,63,60,73,60,85,85,89,75,81,80,80,80,83,74,80
SD990358 ,1,82,90,99,99,90,94,80,92,92,69,82,82,92,96,90,78,97,90,100,98,90,83,94
SD990359 ,0,89,88,96,96,92,100,82,85,87,80,88,92,92,99,90,77,95,97,100,98,82,85,96
SD990360 ,1,92,68,87,66,60,60,79,76,61,76,72,71,71,79,89,61,64,80,76,74,57,74,69
SD990361 ,0,84,79,97,83,68,73,85,66,68,72,80,73,88,86,65,64,85,84,83,73,72,75,74
SD990363 ,0,67,79,65,70,44,60,54,72,71,72,86,75,71,82,84,75,78,60,70,81,74,80,68
SD990364 ,1,71,83,69,81,68,0,68,48,30,78,70,73,71,80,76,75,73,60,1,53,67,77,66
SD990365 ,0,78,84,93,96,80,80,76,75,86,70,85,65,79,82,92,80,90,74,60,96,74,80,80
SD990366 ,1,73,76,55,52,72,74,70,50,60,71,73,83,84,80,80,70,87,60,60,75,70,81,73
SD990367 ,0,79,84,75,60,45,60,91,60,60,81,74,53,60,69,89,94,73,60,60,78,78,80,64
SD990368 ,0,64,75,78,75,60,60,76,68,60,60,72,57,76,73,69,56,82,68,60,81,65,60,60
SD990369 ,1,66,77,87,82,46,0,90,60,60,62,73,81,85,68,71,71,77,60,60,76,80,66,70
SD990370 ,0,93,87,78,86,86,78,78,87,86,69,86,77,77,72,87,65,84,76,90,87,64,60,80
SD990371 ,0,73,82,83,66,61,60,71,66,63,64,79,67,60,60,77,79,78,60,40,71,66,71,60
SD990372 ,0,62,83,76,77,60,0,84,65,60,67,89,71,60,63,72,65,82,62,62,70,83,66,69
