sid,loam,ines,care,cala,calb,ec,sta,stb,apec,myba,mybb,imaca,imacb,fsta,claw,bul,fma,fmb,ivm,inse,fuop,mfin
SD1000317,0,85,92,91,93,81,71,86,85,65,70,60,77,77,78,0,82,71,76,79,82,84
SD1000371,1,79,89,75,71,72,77,86,64,79,76,85,76,60,66,80,69,70,67,76,78,90
SD1000372,1,82,91,85,71,66,81,60,45,75,85,69,60,60,82,80,78,65,74,82,72,81
SD1000373,0,83,85,65,62,60,31,30,67,70,80,66,64,60,85,87,60,60,78,70,69,88
SD1000374,0,83,88,87,76,74,60,72,72,67,73,71,72,69,73,91,63,65,80,75,76,82
SD1000375,0,73,75,68,40,49,60,73,32,71,78,60,31,37,53,63,60,68,63,74,62,81
SD1000376,0,82,89,81,60,68,87,83,49,80,88,97,77,68,71,89,78,81,86,78,93,76
SD1000377,1,88,96,87,70,72,71,75,71,88,81,100,98,73,74,91,78,86,79,76,91,96
SD1000378,1,78,89,92,81,70,82,83,61,76,66,80,71,45,80,87,82,79,62,67,72,95
SD1000379,0,79,88,69,65,71,70,61,65,72,86,90,81,64,76,83,68,74,60,65,73,75
SD1000380,1,79,78,31,0,67,24,1,63,76,68,62,71,46,69,86,67,46,60,62,72,86
SD1000381,1,81,83,66,23,74,60,28,76,83,71,95,81,61,76,57,60,60,76,66,60,83
SD1000382,0,83,86,70,45,65,17,8,61,55,68,74,61,43,88,70,44,48,60,63,60,93
SD1000383,0,77,85,68,66,64,89,82,67,80,80,96,73,61,71,86,81,85,76,70,88,93
SD1000384,0,83,93,92,63,79,88,91,72,93,84,89,78,72,85,81,88,86,86,82,87,86
SD1000385,0,83,93,65,60,70,83,83,64,84,76,89,73,65,85,74,85,79,90,80,95,93
SD1000387,0,83,92,91,78,83,77,87,70,74,85,97,90,63,79,93,77,82,94,84,96,90
SD1000388,0,84,93,91,83,80,70,88,76,73,84,97,78,68,93,98,79,77,86,82,87,93
SD1000389,0,84,92,83,79,83,87,92,76,83,93,100,96,76,88,98,96,97,95,82,97,95
SD1000390,1,81,86,60,25,70,27,0,60,73,72,71,42,41,50,60,48,62,65,74,60,76
SD1000391,1,83,91,76,70,73,74,83,78,92,84,97,100,68,82,90,95,92,96,79,97,91
SD1000392,0,85,93,84,85,66,91,81,67,63,83,91,89,69,79,90,93,92,89,83,88,87
SD1000393,0,80,93,72,60,65,72,71,48,73,72,74,70,42,78,66,69,82,61,71,78,89
SD1000394,1,83,92,80,63,79,91,88,74,86,83,81,88,75,65,82,95,96,95,77,95,81
SD1000395,1,81,82,60,0,56,18,0,13,66,67,60,12,44,50,60,60,43,60,71,60,75
SD1000396,0,83,88,71,81,78,88,80,71,62,77,93,86,55,74,79,80,76,78,74,77,80
SD1000397,0,85,92,60,73,80,82,60,73,67,75,94,100,71,66,89,86,76,83,74,92,94
SD1000398,0,85,93,77,70,64,73,61,72,78,96,78,61,47,86,72,83,65,71,76,71,85
SD1000399,0,79,84,26,0,67,60,13,42,72,80,75,66,60,62,71,60,42,73,60,60,78
SD1000400,1,81,81,40,0,58,14,0,34,60,69,73,66,50,50,50,47,60,48,54,30,73
SD1000401,0,88,92,60,60,65,68,62,68,78,77,94,69,63,60,67,72,71,80,71,81,93
SD1000402,0,80,90,68,66,74,79,83,67,74,78,83,81,62,73,93,94,71,81,70,76,84
SD1000404,1,0,0,100,97,85,99,95,74,88,92,100,100,0,82,98,100,70,0,81,0,0
SD1000405,1,85,82,95,93,86,89,91,65,77,82,73,70,78,89,79,81,83,90,86,89,82
SD1000407,1,81,87,95,83,70,92,99,72,83,54,93,69,65,78,95,92,95,84,77,86,93
SD1000408,1,85,88,92,85,81,71,60,70,70,73,83,97,73,88,55,60,72,85,64,79,83
SD1000409,0,84,81,49,60,62,28,0,41,61,86,64,53,62,78,62,60,70,65,63,60,76
SD1000410,0,84,93,88,78,81,77,81,79,80,91,100,92,64,90,88,88,82,91,71,84,91
SD1000411,1,73,72,74,60,68,60,60,46,75,52,86,70,57,67,62,60,78,64,79,66,74
SD1000412,1,83,93,82,75,74,81,64,74,82,81,100,92,60,81,84,93,71,86,75,69,93
SD1000413,0,81,86,78,65,81,63,87,72,66,88,100,88,60,64,55,85,70,84,78,71,83
SD1000414,1,83,81,72,38,64,60,60,63,69,68,75,70,60,88,60,66,73,70,82,66,96
SD1000415,0,87,91,87,94,80,89,65,73,83,74,97,98,68,77,87,88,66,89,71,82,96
SD1000416,0,89,95,79,83,78,83,93,79,89,85,90,71,85,62,81,89,95,89,81,93,96
SD1000417,1,84,90,63,19,68,60,0,25,62,81,64,8,44,50,50,60,49,65,77,87,85
SD1000418,1,82,95,77,72,79,79,80,62,80,83,92,80,64,86,87,75,85,91,80,94,94
SD1000419,0,77,88,63,64,66,70,64,45,77,86,91,78,60,76,80,76,77,68,76,82,78
SD1000420,0,85,92,87,86,74,78,66,67,82,77,96,95,60,74,83,81,75,61,64,70,81
SD1000421,1,80,89,69,91,68,83,83,48,79,75,87,71,60,68,69,74,66,80,74,83,78
SD1000422,1,81,82,32,24,62,43,3,68,70,66,71,31,50,66,69,60,31,78,61,82,81
SD1000423,0,78,89,23,0,73,62,34,71,75,90,74,63,72,50,95,72,61,70,87,81,86
SD1000426,1,0,0,68,60,72,60,16,60,74,50,81,68,0,50,68,42,7,0,43,0,0
SD1000427,1,81,91,60,47,71,60,36,61,68,69,77,72,60,60,60,69,60,69,66,60,79
SD1000428,0,84,84,80,60,74,69,60,62,68,83,89,74,67,69,69,67,75,60,78,66,79
SD1000429,0,83,83,70,71,61,79,86,68,74,70,66,77,60,82,98,76,72,76,72,74,90
