sid,loam,cala,ec,care,imaca,claw
SD1040712,0,96,75,88,87,78
SD1040714,0,38,60,88,60,76
SD1040715,0,60,80,88,77,78
SD1040716,0,75,76,88,60,84
SD1040717,0,67,80,78,80,73
SD1040718,0,87,80,88,81,87
SD1040719,1,45,60,88,60,82
SD1040720,0,74,86,88,91,84
SD1040721,0,66,76,86,60,87
SD1040722,0,36,60,78,60,55
SD1040723,0,43,63,88,60,89
SD1040724,0,65,65,78,60,80
SD1040725,1,70,69,88,75,75
SD1040727,0,63,79,88,60,93
SD1040728,0,67,79,88,60,76
SD1040729,0,60,60,78,60,82
SD1040730,1,60,67,88,71,88
SD1040731,0,77,81,88,60,82
SD1040732,0,44,78,88,60,78
SD1040733,0,60,66,88,60,88
SD1040734,1,80,71,88,62,86
SD1040735,1,42,72,88,63,81
SD1040736,0,22,62,78,61,77
SD1040737,1,72,87,88,86,79
SD1040738,0,88,71,86,60,81
SD1040739,0,76,75,78,60,81
SD1040740,0,99,71,88,67,85
SD1040741,1,60,64,88,77,73
SD1040742,0,85,79,88,60,79
SD1040743,0,87,60,88,60,83
SD1040744,0,15,60,88,60,76
SD1040745,1,22,67,88,63,73
SD1040746,0,68,66,78,71,76
SD1040747,0,99,96,88,100,90
SD1040748,0,63,79,88,60,71
SD1040749,0,86,75,88,70,87
SD1040750,0,49,73,78,82,85
SD1040751,1,25,60,88,60,70
SD1040752,0,47,62,88,60,80
SD1040753,1,98,86,88,77,78
SD1040754,0,80,95,75,78,84
SD1040755,1,64,65,78,60,70
SD1040756,0,66,70,88,60,84
SD1040757,1,66,77,88,77,87
SD1040758,0,60,81,88,91,83
SD1040759,0,89,84,88,74,89
SD1040760,0,77,83,88,67,81
SD1040761,0,60,71,88,60,82
SD1040762,0,91,80,88,100,72
SD1040763,0,64,60,68,60,62
SD1040780,0,65,98,88,75,89
SD1040781,0,60,47,76,60,89
SD1040782,0,76,83,88,70,74
SD1040783,1,75,72,82,60,82
SD1040784,0,32,77,60,60,85
SD1040785,1,88,66,88,68,88
SD1040786,0,60,55,82,60,83
SD1040787,0,63,70,76,60,82
SD1040788,0,40,68,73,60,73
SD1040789,1,67,70,76,67,85
SD1040790,0,61,65,82,60,86
SD1040791,1,76,63,82,46,87
SD1040792,0,60,69,82,60,82
SD1040793,1,60,57,88,64,77
SD1040794,0,60,55,76,60,84
SD1040795,0,85,86,88,99,77
SD1040796,1,76,88,85,78,86
SD1040797,0,77,96,88,81,85
SD1040798,0,19,69,88,60,84
SD1040799,0,69,81,88,60,0
SD1040800,0,48,61,64,60,85
SD1040801,0,71,60,82,60,84
SD1040802,1,65,69,88,67,77
SD1040803,1,78,84,88,94,81
SD1040804,1,60,65,79,60,81
SD1040805,0,74,87,88,72,92
SD1040806,1,95,60,88,64,85
SD1040807,0,31,77,70,76,78
SD1040808,0,60,71,70,75,85
SD1040809,0,64,60,88,60,87
SD1040810,1,60,82,82,60,84
SD1040811,0,80,74,82,60,83
SD1040812,1,35,70,76,69,84
SD1040813,0,78,69,88,72,80
SD1040814,0,46,50,82,60,82
SD1040816,0,64,60,70,60,85
SD1040817,0,86,73,88,60,82
SD1040818,1,67,77,88,74,87
SD1040819,0,66,85,88,75,78
SD1040820,0,68,74,88,60,82
SD1040821,1,93,86,88,100,82
SD1040822,1,66,63,82,60,86
SD1040823,0,98,94,88,100,82
SD1040824,0,87,66,82,63,83
SD1040825,1,33,63,88,60,78
SD1040826,0,60,72,88,60,76
SD1040827,0,62,76,82,60,82
SD1040828,0,66,85,88,60,77
SD1040829,0,89,85,88,86,60
SD1040830,0,97,86,88,100,75
