sid,loam,mm,ma,fm,ac,apec,inap,eci,eebm,ima,mana,pom,hrm,esm,mads,erem,pjm,ines,cala,calb,sta,stb,ec
SD990459 ,0,60,77,75,81,72,75,72,78,88,84,95,85,89,85,87,96,87,75,60,71,73,69
SD990460 ,1,60,78,72,70,75,64,66,70,65,77,77,65,75,82,82,76,78,20,0,49,50,74
SD990461 ,0,82,83,73,76,75,88,74,78,78,86,78,65,71,90,85,85,84,64,47,50,64,60
SD990462 ,0,65,77,60,68,70,74,73,70,65,85,84,75,84,90,84,79,85,61,45,61,44,77
SD990463 ,1,60,82,67,84,70,91,86,65,62,85,82,70,87,88,83,86,80,60,60,69,74,81
SD990464 ,1,74,83,91,99,80,81,100,74,99,82,98,85,95,90,90,93,90,80,94,83,95,79
SD990465 ,0,78,96,83,74,72,89,74,88,99,92,92,78,90,88,87,80,81,73,70,84,87,83
SD990466 ,0,60,75,64,79,76,83,85,77,88,89,60,65,77,85,85,83,85,60,71,80,79,82
SD990467 ,0,72,82,73,82,86,81,100,75,99,90,95,75,73,85,85,84,81,78,40,77,82,72
SD990468 ,0,61,76,76,84,85,80,78,72,99,88,63,85,92,85,85,89,82,75,60,73,79,76
SD990469 ,1,54,79,72,71,46,81,84,76,73,91,79,79,50,90,85,90,60,50,72,60,43,81
SD990470 ,0,70,86,88,97,62,76,100,70,99,85,96,78,71,88,92,87,76,81,93,80,83,85
SD990471 ,1,78,83,87,94,84,73,100,85,99,85,92,92,73,88,91,83,87,80,74,80,86,80
SD990472 ,1,76,99,96,96,80,87,100,99,99,89,98,90,95,88,91,93,91,84,72,68,72,90
SD990473 ,1,63,83,60,77,72,77,87,60,65,85,86,65,80,88,82,80,80,60,60,60,64,79
SD990474 ,0,54,80,66,62,67,69,65,67,68,80,66,65,28,92,79,66,60,68,46,50,44,88
SD990475 ,1,75,86,79,70,75,86,100,82,92,85,96,70,76,90,91,90,86,92,98,73,87,87
SD990476 ,0,60,83,76,73,65,86,86,60,66,80,80,65,60,82,84,80,76,67,60,71,62,84
SD990477 ,0,73,21,35,81,70,91,86,81,92,90,82,75,60,85,79,91,75,47,50,76,50,83
SD990478 ,0,62,84,72,73,0,92,83,75,84,87,70,75,39,90,77,94,60,70,60,50,38,78
SD990479 ,0,73,90,66,77,66,82,72,62,88,88,95,88,87,90,85,80,82,83,76,74,73,79
SD990480 ,0,85,99,99,98,80,88,100,99,99,87,91,95,95,90,93,93,94,98,93,76,81,96
SD990481 ,1,77,87,76,68,75,83,97,77,93,82,90,73,60,82,86,87,81,89,69,71,77,76
SD990482 ,1,67,68,69,60,52,79,62,60,73,85,81,62,63,88,75,64,86,60,60,63,50,68
SD990483 ,1,73,76,78,78,54,80,100,72,99,83,70,75,64,85,88,90,81,75,68,50,47,73
SD990484 ,1,87,90,92,90,68,78,100,89,99,89,90,92,60,92,91,91,84,84,90,80,73,78
