sid,loam,cala,ec,care,mm,aca
SD1040605,1,100,90,85,100,70
SD1040606,1,60,44,84,66,25
SD1040608,0,79,60,74,82,60
SD1040609,0,92,81,92,100,67
SD1040610,0,72,62,75,83,60
SD1040611,0,63,61,72,99,35
SD1040612,0,98,78,92,91,60
SD1040613,0,60,60,71,90,38
SD1040614,1,60,68,73,65,38
SD1040615,0,91,82,81,94,60
SD1040616,0,70,67,78,84,60
SD1040617,0,60,60,80,77,60
SD1040618,0,60,60,74,75,60
SD1040619,0,73,60,77,78,60
SD1040620,0,75,78,86,100,60
SD1040621,0,96,79,88,100,62
SD1040622,0,91,80,77,95,77
SD1040623,1,84,72,71,86,61
SD1040624,0,81,74,92,87,83
SD1040625,1,71,68,87,97,60
SD1040626,0,100,66,79,88,60
SD1040627,1,80,62,79,78,60
SD1040628,0,79,60,87,88,63
SD1040629,1,75,79,83,86,75
SD1040630,1,75,60,80,100,60
SD1040631,1,96,81,72,100,60
SD1040632,0,46,60,72,90,37
SD1040633,0,80,60,78,79,60
SD1040634,0,44,30,73,68,27
SD1040635,1,65,60,72,84,62
SD1040636,1,72,60,72,98,60
SD1040637,0,64,64,83,99,61
SD1040638,0,75,72,83,96,72
SD1040640,0,100,67,77,94,60
SD1040641,0,60,69,72,80,60
SD1040642,0,91,61,83,84,60
SD1040643,0,65,60,83,96,60
SD1040644,1,72,81,76,97,85
SD1040645,1,93,92,79,100,100
SD1040646,0,74,81,76,84,60
SD1040647,1,89,88,80,89,92
SD1040648,0,60,71,74,83,60
SD1040649,0,80,67,75,93,60
SD1040650,1,95,79,92,100,78
SD1040651,0,91,89,93,100,75
SD1040652,1,98,83,84,93,67
SD1040653,0,99,79,80,83,76
SD1040654,0,85,72,78,100,60
SD1040655,1,83,86,87,91,60
SD1040656,1,73,60,82,87,36
SD1040657,0,84,69,77,86,34
SD1040658,0,88,71,92,82,60
SD1040659,0,60,62,81,73,60
SD1040660,0,73,93,95,90,60
SD1040661,0,100,73,72,91,90
SD1040662,0,43,20,79,40,36
SD1040663,1,95,71,77,84,65
SD1040664,0,88,89,78,76,87
SD1040665,0,91,87,82,89,60
SD1040666,0,60,64,77,74,60
SD1040667,1,67,72,78,85,64
SD1040668,1,71,78,72,77,60
SD1040669,0,92,68,71,71,70
SD1040670,0,41,80,74,70,60
SD1040671,0,74,75,75,56,66
SD1040672,1,81,69,73,72,60
SD1040673,0,60,72,76,90,42
SD1040674,1,69,68,75,86,62
SD1040675,1,85,66,73,52,60
SD1040676,0,83,72,89,77,60
SD1040677,0,74,61,80,54,73
SD1040678,1,60,83,73,87,60
SD1040679,0,60,50,81,72,61
SD1040680,0,68,71,75,76,60
SD1040681,0,60,65,75,72,61
SD1040682,1,60,82,78,80,63
SD1040683,0,70,68,73,79,60
SD1040684,1,76,60,80,74,60
SD1040685,0,83,87,87,77,62
SD1040686,0,79,75,93,81,60
SD1040687,1,61,65,72,72,60
SD1040688,1,60,66,76,78,61
SD1040689,0,77,73,77,75,60
SD1040690,1,73,79,78,85,90
SD1040691,0,60,80,78,82,60
SD1040692,0,88,67,82,75,60
SD1040693,0,83,70,75,73,63
SD1040694,1,93,86,76,78,75
SD1040695,0,74,85,82,87,62
SD1040696,1,66,68,76,69,64
SD1040697,0,37,60,95,80,60
SD1040698,1,82,63,94,55,61
SD1040699,0,75,77,79,85,61
SD1040700,0,94,89,85,88,82
SD1040702,0,60,60,81,81,68
SD1040703,1,74,60,72,75,73
SD1040704,0,100,84,77,87,60
SD1040705,0,83,80,94,88,60
SD1040706,1,80,80,78,73,65
SD1040707,0,64,76,69,87,60
SD1040708,1,66,77,79,92,68
SD1040709,1,91,81,92,75,68
SD1040710,1,79,70,77,67,62
