sid,loam,itdc,mana,eci,buetc,hufa,quma,ec,mots,sta,cmat,calb,pgl,oprsa,stb,oprsb,lgma,cala,pom,erp,ac,iidm,cotas,fypl,pjm
SD970741 ,1,61,62,0,90,90,79,78,83,74,83,75,70,83,85,66,83,74,86,92,81,88,99,66,82
SD970742 ,0,64,67,60,92,68,68,52,82,79,71,74,76,70,83,88,85,76,81,80,75,89,94,94,80
SD970743 ,0,65,60,0,88,62,60,60,60,64,33,49,81,60,69,60,4,61,63,60,60,67,60,69,21
SD970744 ,0,66,60,0,82,68,70,56,68,82,60,49,63,61,71,55,74,49,52,67,82,65,61,84,68
SD970745 ,1,89,60,17,89,77,65,69,70,68,0,78,84,71,69,60,80,49,74,61,60,87,61,82,71
SD970746 ,1,96,81,60,87,67,60,76,69,60,40,49,83,78,73,61,81,73,80,79,83,84,78,69,75
SD970748 ,1,74,64,0,90,44,65,51,63,60,74,49,71,61,69,45,75,68,60,65,1,70,30,62,66
SD970749 ,0,71,81,0,89,78,61,64,68,61,66,64,78,64,66,60,88,67,71,78,65,77,72,89,77
SD970750 ,0,91,87,77,92,96,88,69,78,84,95,69,88,93,97,98,86,76,98,92,75,90,83,87,82
SD970751 ,1,88,87,0,90,73,61,68,80,75,40,60,84,68,85,70,81,79,80,71,70,80,79,69,77
SD970752 ,1,92,70,0,89,84,63,69,68,65,66,69,87,61,74,60,77,75,62,71,72,75,61,67,76
SD970753 ,0,78,60,0,0,86,81,52,80,60,31,61,61,99,0,96,90,94,94,91,66,60,0,80,0
SD970754 ,0,93,62,0,0,23,20,72,53,60,37,60,78,30,60,50,1,69,26,0,50,74,61,0,32
SD970755 ,0,98,70,0,68,74,68,73,85,86,36,80,90,95,80,97,86,85,80,86,70,99,84,63,68
SD970757 ,1,90,60,60,90,76,67,77,68,63,64,65,78,61,52,60,74,70,62,80,82,84,61,72,75
SD970758 ,0,92,65,37,92,70,70,69,76,69,63,75,69,61,74,61,83,73,73,91,70,92,89,99,78
SD970759 ,1,93,96,96,90,93,90,87,82,73,86,86,77,90,95,92,88,77,98,74,99,78,99,96,76
SD970760 ,0,95,87,91,91,90,98,90,81,99,80,97,95,99,99,98,85,91,98,97,98,89,99,80,82
SD970761 ,1,79,64,0,88,70,60,83,79,69,20,49,78,60,76,50,81,49,65,60,70,65,70,60,67
SD970763 ,1,80,95,48,89,82,75,81,72,70,63,49,82,61,79,70,82,74,73,78,75,74,61,99,80
SD970764 ,0,85,77,3,91,72,60,81,73,72,71,49,91,88,70,80,80,49,84,80,76,70,79,60,74
SD970765 ,0,96,69,60,86,93,71,86,79,62,60,72,93,84,94,96,76,78,71,74,100,85,99,60,71
SD970766 ,0,97,82,0,69,88,71,77,82,82,69,71,91,77,86,96,77,72,88,84,83,91,75,94,73
SD970767 ,0,90,82,0,88,87,75,63,61,82,41,67,68,78,75,75,88,78,87,83,77,85,88,99,77
SD970768 ,0,62,84,0,92,82,61,63,75,81,31,60,83,75,72,63,84,77,72,79,61,87,68,72,77
SD970769 ,0,91,60,0,88,60,60,73,60,52,36,49,73,60,77,60,30,67,73,60,61,75,84,69,60
SD970772 ,0,86,78,24,80,76,40,68,64,69,36,75,67,61,67,50,51,71,70,60,60,85,60,69,65
SD970773 ,0,94,94,0,90,69,61,66,62,70,64,65,88,80,83,88,81,68,95,71,60,73,61,69,67
SD970774 ,0,63,60,0,68,62,30,83,60,60,38,49,62,33,50,60,12,68,46,60,67,85,60,68,60
SD970775 ,0,94,60,0,90,60,63,63,60,52,28,63,69,60,61,70,81,71,45,60,0,80,20,60,61
SD970776 ,0,90,71,0,89,68,62,68,64,85,68,67,87,90,86,65,80,76,92,68,64,80,61,60,70
SD970777 ,1,88,98,80,90,84,86,79,85,68,73,84,88,91,90,95,87,84,80,83,79,78,94,86,77
SD970778 ,0,66,60,30,89,80,62,70,77,76,52,49,67,61,66,64,77,74,82,70,60,63,61,90,73
SD970779 ,0,80,28,0,26,60,60,65,10,40,4,49,52,45,75,40,62,49,60,60,37,67,0,60,61
SD970780 ,0,82,73,9,89,81,68,68,82,81,67,70,92,80,82,68,84,72,90,73,64,82,61,60,72
SD970781 ,1,87,92,65,88,90,99,68,84,90,71,96,93,96,91,93,81,94,98,79,60,84,87,63,73
SD970782 ,1,74,71,0,86,60,47,73,60,61,25,49,72,65,73,60,36,60,60,60,70,74,71,60,33
SD970783 ,1,78,95,60,92,92,85,95,77,83,61,69,89,82,96,93,82,86,98,81,94,95,80,99,83
SD970784 ,0,70,66,0,89,60,61,91,68,83,36,49,78,78,77,65,84,78,98,60,82,74,61,69,70
SD970786 ,0,92,64,0,0,85,66,79,75,95,0,49,68,62,90,67,62,49,86,85,74,68,76,76,0
SD970787 ,1,87,84,12,88,67,76,85,76,66,63,72,67,74,74,50,75,72,60,75,81,94,61,85,76
SD970788 ,1,90,83,66,0,40,21,68,77,80,60,65,40,40,88,50,1,75,48,1,71,17,98,7,1
SD970790 ,1,80,74,95,89,81,85,83,81,69,76,70,88,68,74,81,87,49,76,78,100,78,69,99,72
SD970791 ,0,63,60,12,88,38,60,80,60,68,17,49,64,71,70,1,67,49,62,60,64,61,30,84,70
SD970792 ,0,91,97,63,91,87,90,88,66,95,78,87,83,96,98,99,86,80,99,85,100,93,97,92,86
SD970793 ,0,92,78,0,91,82,74,80,75,93,33,65,77,87,80,80,81,78,75,79,89,88,93,75,77
SD970794 ,0,70,69,0,87,67,60,78,70,67,52,49,64,60,66,60,69,76,48,60,84,79,61,60,63
SD970795 ,0,61,60,0,0,40,40,70,70,60,1,49,61,60,62,40,9,33,60,60,70,60,20,23,0
SD970796 ,1,91,60,35,86,71,66,81,70,62,38,49,85,84,70,60,85,70,98,63,80,86,84,90,75
SD970797 ,0,88,94,40,89,69,60,79,78,66,70,69,73,62,82,71,84,49,70,80,95,90,77,85,78
SD970800 ,1,48,95,78,80,69,61,83,94,75,83,70,87,65,86,50,60,71,60,69,81,73,30,60,85
