sid,loam,pjm,ines,hufa,quma,eci,ec,mots,sta,cmat,calb,pgl,oprsa,stb,oprsb,lgma,cala,pom,erp,ac,iidm,cotas,fypl,itdc,mana
SD980754 ,0,98,81,88,73,75,70,92,81,60,64,86,85,93,87,75,80,97,84,68,87,71,84,66,67
SD980755 ,0,96,95,90,80,68,78,93,80,70,61,87,68,63,83,95,89,82,82,70,88,76,81,84,71
SD980756 ,0,98,95,96,99,88,87,92,97,70,100,86,94,96,98,99,100,96,95,99,93,69,85,96,78
SD980758 ,0,96,82,87,68,85,69,94,74,60,73,79,70,80,83,71,55,86,84,60,86,63,71,64,82
SD980759 ,0,96,90,92,75,70,68,83,60,75,80,89,81,86,85,81,84,93,89,83,79,60,89,82,64
SD980760 ,0,95,65,78,40,77,72,97,49,70,60,66,49,65,67,49,62,61,84,68,80,65,76,75,57
SD980761 ,1,87,79,84,60,65,71,91,86,60,69,80,87,70,98,60,97,65,80,84,81,91,75,60,79
SD980763 ,1,82,74,85,62,70,69,90,78,70,72,82,73,67,90,67,73,72,75,46,77,86,80,75,83
SD980764 ,0,85,68,60,60,80,69,84,49,0,57,62,60,62,60,38,78,68,70,70,74,72,71,40,60
SD980765 ,1,98,94,85,82,75,85,70,77,51,73,84,82,96,80,75,87,84,76,78,82,97,80,98,87
SD980766 ,0,96,86,85,82,78,78,80,76,85,65,88,75,95,90,92,91,94,81,76,88,94,84,85,71
SD980767 ,0,96,85,96,75,83,77,85,77,67,87,65,81,93,80,84,70,94,94,77,84,62,78,76,66
SD980768 ,1,98,94,85,87,75,94,91,72,74,87,80,92,90,88,89,82,90,91,99,83,97,68,83,98
SD980771 ,0,95,89,82,76,60,77,81,65,90,78,66,60,90,85,60,60,85,70,98,79,63,71,81,78
SD980773 ,1,84,80,86,65,82,65,93,60,60,53,60,67,70,63,62,54,68,69,75,77,61,73,83,67
SD980774 ,0,96,96,91,83,98,83,93,65,66,69,89,86,85,90,83,62,89,87,88,72,73,85,64,79
SD980775 ,0,93,94,95,81,70,76,90,49,62,65,76,66,75,75,74,62,70,82,82,77,98,71,73,76
SD980776 ,1,98,91,95,68,96,98,93,89,75,96,83,98,98,86,75,94,98,93,99,94,99,80,98,69
SD980777 ,0,95,84,97,73,92,65,82,91,76,64,62,62,68,63,42,61,92,87,74,85,63,80,85,66
SD980778 ,0,98,93,87,92,84,86,95,91,75,100,81,97,95,97,79,97,95,94,98,91,99,84,83,68
SD980779 ,0,76,72,86,61,65,68,83,49,0,68,61,40,62,60,46,72,65,73,78,72,40,76,60,81
SD980780 ,0,98,95,94,87,100,76,92,74,61,68,90,96,97,99,81,63,96,86,70,73,99,80,70,76
SD980781 ,0,81,74,70,43,75,66,82,49,0,35,60,46,60,30,0,64,70,65,60,72,30,66,65,78
SD980782 ,0,96,93,94,92,65,87,84,68,72,71,76,86,96,90,71,73,95,85,75,84,62,76,86,91
SD980783 ,1,81,73,83,60,65,80,81,67,66,61,60,67,40,60,31,70,50,79,38,76,61,66,70,66
SD980784 ,0,92,70,92,68,73,74,92,74,64,74,68,72,80,60,67,83,75,88,78,84,61,78,81,62
SD980785 ,1,91,80,83,75,68,84,80,89,60,58,72,63,89,86,60,83,91,84,68,80,62,85,96,90
SD980786 ,0,98,89,92,89,96,83,95,73,67,75,73,78,93,97,81,91,94,89,74,85,81,80,86,63
SD980787 ,1,83,77,80,73,68,66,90,77,0,71,62,60,65,66,32,63,73,76,60,80,40,77,75,71
SD980788 ,0,98,95,83,72,70,68,90,89,71,74,85,63,96,79,60,88,93,82,60,88,62,68,91,66
SD980789 ,1,89,72,70,68,72,83,82,49,45,64,61,60,62,60,48,70,74,80,51,80,62,63,72,75
SD980790 ,0,82,68,75,60,65,60,76,49,0,52,77,60,62,60,50,64,55,73,71,66,63,77,63,60
SD980791 ,0,98,95,90,79,68,79,86,71,65,63,66,72,94,64,75,79,82,93,80,90,62,80,88,82
SD980793 ,0,95,90,84,71,80,64,83,72,71,64,82,74,93,90,89,78,84,80,76,87,62,71,95,66
SD980794 ,1,96,89,97,76,85,79,81,65,73,61,79,86,95,94,87,81,93,83,99,78,76,89,82,64
SD980795 ,1,98,93,90,76,95,95,81,93,60,71,79,92,97,92,77,80,95,93,99,94,100,72,86,76
SD980796 ,1,94,89,82,63,70,66,91,49,45,69,79,73,63,75,0,86,78,77,84,77,89,75,82,80
SD980797 ,1,89,90,87,77,74,80,86,71,75,82,61,60,85,74,78,72,77,81,84,66,71,69,89,78
SD980798 ,0,98,83,90,75,80,75,90,49,64,73,88,92,90,85,71,63,86,89,98,83,99,76,86,79
SD980799 ,1,98,90,70,60,70,71,89,65,42,76,61,61,88,63,67,73,80,79,99,84,81,48,73,76
SD980800 ,1,94,80,79,73,75,80,82,49,70,65,80,66,84,60,44,85,80,76,90,83,86,60,86,65
SD980801 ,1,87,81,74,66,65,70,86,71,0,53,70,60,83,95,62,64,79,78,83,72,99,75,86,72
SD980802 ,1,64,83,72,60,65,70,92,49,54,55,62,67,60,74,35,54,61,63,51,66,67,76,62,47
SD980803 ,0,96,91,87,67,80,84,84,49,50,67,64,63,95,67,50,71,90,95,99,89,79,67,96,71
SD980804 ,0,97,94,86,78,95,98,95,83,60,92,82,99,95,83,76,94,94,94,99,94,100,91,96,84
SD980805 ,1,88,73,84,69,70,67,91,49,0,70,75,64,61,76,60,53,63,82,60,77,91,72,76,60
SD980806 ,0,95,82,92,70,62,71,89,60,53,55,83,65,85,98,0,73,70,83,75,78,100,63,83,81
SD980807 ,0,78,79,88,60,73,70,87,60,62,70,61,60,76,70,0,94,74,60,76,82,61,60,77,76
SD980808 ,0,96,84,86,64,88,84,96,69,54,68,84,81,94,88,72,65,78,91,80,82,91,82,82,82
SD980813 ,0,86,90,90,91,88,96,99,95,87,87,82,95,95,96,90,97,84,92,90,86,99,91,67,77
SD980814 ,0,0,87,0,18,60,62,5,77,38,77,27,0,40,45,40,80,60,0,20,68,42,0,0,40
SD980815 ,0,90,92,79,83,0,78,95,90,72,68,64,60,95,62,85,81,83,83,66,60,98,81,26,79
SD980816 ,0,88,90,80,82,62,69,96,75,64,66,65,87,88,80,73,73,71,88,60,67,76,80,60,75
SD980819 ,0,75,75,70,77,0,68,83,60,64,60,20,78,65,60,79,78,72,86,65,82,60,80,45,72
SD980820 ,0,90,90,99,94,97,88,96,80,90,96,79,97,97,90,94,89,96,96,98,93,95,90,73,90
SD980821 ,1,80,90,61,52,45,62,73,33,64,61,67,40,28,60,72,70,86,75,74,60,60,73,0,76
SD980822 ,1,85,90,70,75,80,74,80,62,44,76,86,85,73,82,81,67,85,90,75,71,63,68,60,78
SD980824 ,1,88,90,82,99,98,86,94,98,81,81,85,97,96,97,86,89,94,85,87,83,98,94,80,82
SD980826 ,0,90,91,77,78,0,70,91,46,66,65,67,62,82,61,86,64,74,90,60,74,99,75,33,70
SD980827 ,0,87,75,64,81,0,79,77,62,65,76,37,64,73,60,60,82,64,84,87,76,74,66,44,69
SD980828 ,0,80,85,63,69,52,75,80,63,67,63,61,60,70,60,65,75,75,72,79,72,73,72,67,76
SD980829 ,0,70,75,48,84,50,69,77,64,72,66,42,68,61,63,67,75,77,83,70,84,86,64,72,81
SD980830 ,0,88,92,87,85,86,84,92,78,82,80,76,93,86,82,86,84,89,94,94,77,96,85,75,80
SD980831 ,0,90,89,91,85,67,76,87,67,75,77,79,85,85,71,84,74,89,94,82,79,98,75,68,78
SD980832 ,0,84,92,61,63,80,75,85,77,68,65,65,62,69,72,71,83,64,67,93,75,73,65,70,71
SD980833 ,0,75,86,60,69,0,79,77,42,62,65,29,76,62,60,56,62,75,73,65,66,74,60,65,46
SD980834 ,1,90,92,70,76,0,84,93,83,82,82,67,86,98,74,77,67,78,92,99,77,79,78,50,81
SD980835 ,0,88,90,80,91,72,81,91,66,75,75,70,94,82,88,86,71,82,82,78,84,98,90,61,81
SD980836 ,0,90,90,92,80,0,85,90,67,85,82,70,84,84,75,87,76,87,99,99,74,94,80,45,82
SD980837 ,1,80,89,66,77,1,66,78,0,1,50,71,60,0,49,60,70,65,72,73,66,72,73,18,0
SD980838 ,1,90,89,87,73,76,79,82,75,79,86,73,68,87,76,61,88,76,86,65,73,97,62,65,68
SD980839 ,0,0,75,0,20,0,30,1,34,47,62,29,60,61,45,18,69,71,0,20,60,19,0,19,64
SD980840 ,0,90,90,62,70,78,60,79,50,62,74,60,63,61,61,60,97,77,76,72,60,60,62,41,60
SD980843 ,1,70,75,41,70,60,73,77,69,56,70,34,60,70,63,49,83,91,80,60,77,93,61,60,63
SD980844 ,0,88,91,43,83,85,79,80,74,79,83,70,65,85,50,76,87,77,72,60,83,64,81,60,87
SD980846 ,0,88,90,65,68,82,61,89,65,75,60,38,80,72,61,69,83,72,72,60,60,67,69,0,71
SD980847 ,0,82,88,91,69,0,63,75,89,60,66,79,60,75,68,71,88,60,84,60,80,66,74,28,43
SD980848 ,0,87,92,61,67,76,65,85,50,61,75,71,60,78,63,64,75,73,85,60,71,85,63,29,67
SD980849 ,0,85,90,64,72,0,65,85,64,54,74,64,67,79,60,64,72,69,82,60,65,65,69,1,72
SD980850 ,1,70,75,47,65,66,71,77,61,37,72,34,60,60,40,42,63,90,71,60,62,60,60,60,66
SD980851 ,1,75,75,62,76,0,75,84,69,63,67,23,68,70,64,76,81,77,86,62,78,74,74,29,50
SD980852 ,1,88,91,63,78,97,76,75,73,70,78,67,69,85,63,67,74,78,75,90,67,99,64,32,74
SD980853 ,1,84,92,62,78,72,66,86,63,74,60,85,60,84,45,74,61,89,77,60,86,68,73,37,81
SD980854 ,0,90,90,83,77,0,83,91,65,77,88,74,80,91,74,75,94,83,81,83,70,85,67,50,78
SD980855 ,0,88,92,75,87,0,77,90,75,77,76,67,74,88,70,79,77,84,93,89,79,79,80,41,81
SD980856 ,1,90,92,88,94,98,89,85,82,79,90,69,91,96,87,87,95,79,79,95,94,92,73,60,84
SD980857 ,1,60,55,48,40,52,78,60,68,67,63,0,40,66,61,69,73,75,60,77,69,0,36,63,74
SD980858 ,1,90,95,97,96,97,80,99,87,100,89,84,94,89,95,96,80,85,98,97,90,99,95,88,85
SD980859 ,1,80,88,62,73,0,78,82,60,69,63,77,60,70,65,73,63,60,73,74,67,98,74,36,53
SD980860 ,0,75,92,62,93,0,78,85,68,53,65,22,78,83,68,56,78,78,78,60,81,75,69,60,48
SD980861 ,1,87,92,70,82,80,50,79,74,88,79,79,72,78,64,64,86,76,84,99,91,83,66,62,67
SD980862 ,1,75,90,76,77,0,91,84,65,39,75,24,69,66,68,67,66,76,85,60,78,68,69,39,60
SD980863 ,0,85,75,66,85,61,85,79,65,71,73,85,67,68,72,80,72,85,90,95,67,65,71,50,65
SD980865 ,1,70,88,50,48,1,80,80,73,1,25,68,71,60,48,46,61,69,71,60,60,70,60,4,71
SD980866 ,0,85,75,63,64,1,74,80,73,65,60,87,40,95,50,73,75,68,76,60,60,60,67,10,69
