sid,loam,pjm,ines,cala,calb,sta,stb,ec,hufa,quma,eci,mots,pgl,oprsa,oprsb,lgma,pom,erp,ac,iidm,fypl,itdc,mana
SD990763 ,0,99,95,64,60,78,93,60,96,87,92,94,98,90,93,89,94,90,61,88,70,77,94
SD990764 ,0,91,63,81,82,70,75,75,53,67,88,92,82,82,87,67,99,84,64,83,79,66,78
SD990765 ,1,93,72,60,75,85,95,65,79,71,90,79,60,96,98,60,85,75,71,82,60,84,84
SD990767 ,0,85,77,60,37,70,88,64,56,71,92,85,53,61,77,60,80,71,40,84,65,67,66
SD990768 ,1,96,78,74,88,70,97,86,70,78,93,90,85,90,97,79,96,76,73,92,65,81,87
SD990769 ,0,60,67,66,89,53,60,52,55,46,65,78,10,70,65,68,64,66,72,74,46,64,60
SD990770 ,1,0,0,60,20,23,25,68,0,0,65,1,87,64,30,1,86,0,61,65,0,96,71
SD990771 ,1,92,78,84,78,61,65,61,67,70,70,80,60,86,70,70,70,80,72,81,70,72,76
SD990772 ,1,1,36,27,60,30,20,1,56,47,30,60,3,62,40,60,47,60,74,60,60,60,60
SD990773 ,0,99,80,67,60,60,81,60,71,71,80,82,68,66,73,81,72,75,61,82,63,70,85
SD990774 ,0,84,66,81,77,55,81,69,72,71,75,86,29,52,97,83,72,75,62,75,70,66,61
SD990775 ,1,60,73,71,71,52,50,46,65,67,80,68,30,78,61,64,60,69,60,90,62,65,70
SD990777 ,0,94,72,63,95,72,70,71,70,60,80,60,60,79,93,67,74,73,94,84,69,79,79
SD990779 ,1,99,77,91,63,70,73,94,70,71,85,60,63,82,88,60,82,69,99,91,75,82,81
SD990780 ,0,73,55,63,22,60,43,70,60,44,80,77,5,44,45,50,60,61,60,76,60,60,0
SD990783 ,0,91,62,66,60,40,30,63,61,64,50,75,8,38,28,48,75,66,79,86,52,60,54
SD990784 ,0,95,80,60,74,92,81,86,61,89,95,91,69,95,93,88,93,86,72,85,77,68,86
SD990785 ,0,99,97,84,63,93,87,89,90,74,90,98,60,70,96,96,88,97,97,87,76,68,74
SD990786 ,1,99,15,66,60,40,25,54,0,60,78,73,1,60,43,43,41,67,62,84,40,63,60
SD990787 ,1,96,76,83,70,74,70,79,81,72,95,73,43,80,95,80,70,83,72,89,68,82,83
SD990788 ,1,88,73,69,44,56,0,50,77,68,72,75,65,42,61,78,71,70,84,76,70,61,60
SD990789 ,0,84,78,71,74,99,99,74,85,87,98,77,66,71,83,77,74,71,62,84,72,82,78
SD990790 ,0,99,77,62,66,81,90,66,73,80,90,71,67,80,90,65,80,76,62,83,73,60,81
SD990791 ,1,60,42,60,60,77,76,60,72,40,60,65,0,69,63,60,82,61,66,79,65,60,70
SD990792 ,0,60,72,75,62,36,62,85,85,68,65,75,0,44,1,84,78,78,60,88,80,60,67
SD990793 ,1,60,64,63,83,54,38,54,70,60,85,60,0,88,83,77,81,76,72,82,75,63,60
SD990794 ,0,87,60,69,37,73,68,70,49,74,70,76,1,48,72,63,72,60,61,71,68,63,46
SD990795 ,0,99,88,70,60,95,87,76,87,92,93,95,90,91,98,86,61,74,62,87,78,72,73
SD990796 ,0,77,75,63,37,72,62,60,80,65,90,79,30,93,88,76,60,80,63,83,61,71,64
SD990797 ,1,99,85,68,64,88,99,69,92,70,99,96,79,96,95,89,99,80,63,87,65,74,86
SD990798 ,1,86,70,60,60,40,30,64,61,64,68,76,0,39,60,61,65,81,64,68,75,62,48
SD990799 ,0,99,82,60,60,67,75,73,95,82,85,93,73,78,82,87,76,87,62,87,76,80,95
