sid,loam,ines,cala,calb,ec,pjm,pjmp,oprs,lgma,pom,ac,iidm,mana,comap,apeci,mots,hufa,sta,stb,quma
SD1021155,0,90,86,80,88,98,100,96,89,82,95,77,93,92,100,76,84,94,96,70
SD1021156,0,72,60,60,51,85,88,50,54,72,63,60,67,54,35,66,64,72,60,42
SD1021157,1,87,81,87,83,94,100,88,90,89,84,87,85,80,90,73,75,88,85,83
SD1021158,0,87,84,78,87,100,98,97,86,96,99,96,88,95,99,72,94,99,98,99
SD1021159,0,83,53,72,61,88,98,77,73,66,69,65,76,69,75,67,68,81,76,70
SD1021160,1,84,60,62,63,90,96,50,65,80,60,73,80,68,78,71,70,78,65,50
SD1021161,0,86,87,79,76,100,100,93,81,81,98,89,83,84,93,70,88,98,95,80
SD1021162,0,91,35,83,52,90,95,50,68,72,61,68,76,56,67,64,62,60,68,66
SD1021163,0,89,76,86,71,100,100,74,72,80,69,75,80,82,88,60,80,92,76,72
SD1021164,0,80,70,61,60,88,89,65,62,67,64,69,69,60,62,66,81,75,62,66
SD1021165,0,85,60,66,75,95,100,62,75,72,69,81,89,84,95,71,79,90,91,75
SD1021166,1,93,69,69,80,100,98,75,86,85,70,79,90,84,91,70,79,86,90,66
SD1021167,0,66,52,75,55,60,77,30,60,60,50,70,60,67,60,63,60,60,60,50
SD1021168,0,84,66,60,71,86,92,62,77,70,69,72,88,77,92,60,77,81,71,66
SD1021169,1,79,79,70,67,95,83,60,53,68,77,80,79,81,77,60,76,69,60,60
SD1021170,1,89,67,67,69,97,96,86,66,71,86,83,70,74,73,65,80,81,70,65
SD1021171,0,90,88,88,77,100,100,98,90,84,99,91,85,95,90,64,86,97,98,80
SD1021172,0,81,63,61,48,89,93,50,66,75,67,60,60,63,55,67,73,64,70,72
SD1021173,0,93,79,63,81,100,100,76,82,86,77,81,80,91,81,69,90,94,90,80
SD1021174,0,88,60,69,71,100,98,89,80,92,65,89,79,75,82,75,88,73,80,68
SD1021175,0,93,68,82,70,100,95,92,93,66,75,96,80,85,97,70,98,94,88,75
SD1021176,0,84,89,76,98,100,100,94,90,76,75,99,87,97,97,73,81,96,89,88
SD1021177,0,77,60,60,61,70,87,50,67,70,50,70,75,68,80,62,55,67,60,38
SD1021178,0,89,79,85,82,100,100,96,92,82,69,91,86,96,93,76,98,93,98,82
SD1021179,0,91,78,74,79,96,100,91,79,79,94,96,88,77,88,66,84,95,87,65
SD1021180,0,85,64,60,65,95,96,62,74,62,85,64,77,60,84,60,69,68,62,75
SD1021181,0,87,68,66,66,87,91,50,68,89,65,64,85,80,73,64,52,73,62,70
SD1021182,0,83,75,72,93,100,100,96,84,79,99,81,77,81,94,68,88,88,94,72
SD1021183,0,92,85,77,91,95,96,99,82,95,98,76,94,70,97,73,87,96,90,92
SD1021184,1,90,87,74,75,100,98,95,83,75,99,81,83,92,94,70,78,96,90,60
SD1021185,0,88,76,60,68,93,96,64,64,62,88,80,84,70,79,60,61,80,79,66
SD1021186,1,89,77,82,74,100,100,79,87,70,94,90,84,78,97,67,83,87,96,80
SD1021187,0,92,84,83,77,100,100,94,94,82,96,91,87,88,93,71,92,96,98,78
SD1021188,1,88,98,79,84,95,99,77,82,72,95,79,90,74,98,74,81,85,78,75
SD1021189,0,79,32,63,69,88,92,50,64,68,70,68,78,62,60,70,62,66,62,55
SD1021190,0,90,48,82,50,93,96,60,64,70,70,60,60,58,69,60,55,60,62,60
SD1021191,0,81,70,62,68,86,93,50,65,84,78,74,86,56,90,66,65,83,68,66
SD1021192,0,87,89,86,78,100,100,98,91,92,77,93,83,83,100,73,96,94,98,83
SD1021193,0,85,87,87,85,100,100,87,83,76,72,88,80,76,92,71,90,91,96,92
SD1021194,0,87,72,70,60,86,92,88,70,61,65,70,74,60,80,60,71,72,82,70
SD1021195,1,87,70,68,61,95,98,68,76,74,68,68,72,80,80,75,75,87,76,70
SD1021197,0,86,67,71,48,90,94,50,84,74,40,66,74,62,73,62,70,74,60,73
SD1021199,1,92,95,69,76,75,100,30,85,72,94,78,73,87,78,65,72,77,70,75
SD1021200,1,87,60,73,67,95,98,72,68,70,50,62,61,62,81,65,80,78,73,72
SD1021201,1,87,66,60,69,96,95,61,65,73,67,60,60,60,61,60,61,60,62,51
SD1021202,0,91,73,76,85,100,98,92,87,85,90,81,78,73,82,78,85,83,87,80
SD1021203,1,89,60,64,69,95,99,63,72,70,91,77,67,74,85,64,67,75,71,63
SD1021204,0,93,76,70,85,100,100,96,87,85,99,96,84,90,89,78,95,98,98,86
SD1021205,0,0,60,60,70,66,60,50,0,80,83,76,61,68,73,61,52,74,60,0
SD1021206,1,90,79,84,77,100,100,85,86,82,94,77,75,85,98,77,85,89,95,70
SD1021207,1,89,62,45,73,95,97,61,69,80,53,71,85,66,75,66,69,64,70,66
SD1021208,1,87,64,61,77,84,93,62,77,80,98,79,84,65,81,75,68,82,72,72
SD1021212,0,92,89,99,91,87,100,97,91,95,96,98,97,96,95,86,91,98,98,86
SD1021214,0,82,69,67,69,78,98,62,70,86,30,77,77,60,80,65,84,82,80,63
SD1021215,0,82,77,80,76,87,100,96,83,93,90,87,81,82,92,60,85,84,90,80
SD1021217,0,92,76,77,83,82,100,95,93,94,98,84,95,93,98,75,93,92,98,80
