sid,loam,cala,calb,ec,pjm,oprs,pom,ac,iidm,mana,comap,apeci,mots,sta
SD1031161,0,84,62,76,91,93,70,90,35,72,63,87,63,60
SD1031162,0,71,73,30,79,74,61,75,68,69,67,67,60,60
SD1031163,0,76,67,68,100,67,68,99,77,82,67,63,60,64
SD1031165,0,96,94,75,100,99,96,99,71,82,77,78,82,98
SD1031167,1,65,60,81,100,87,96,99,41,80,76,65,67,86
SD1031168,0,67,62,65,100,95,93,99,46,91,66,71,60,74
SD1031169,0,66,60,65,95,64,60,70,46,66,63,61,60,60
SD1031170,1,81,68,76,100,93,92,90,60,78,74,63,70,88
SD1031171,0,71,62,65,87,62,60,75,61,67,62,47,1,63
SD1031172,0,70,60,72,98,66,88,80,60,82,72,29,60,88
SD1031173,1,72,61,69,96,35,60,70,63,68,72,65,60,68
SD1031174,1,86,72,64,100,60,91,80,60,80,70,64,63,74
SD1031175,1,85,83,64,100,70,66,90,87,81,77,72,74,73
SD1031176,0,80,60,72,100,78,95,75,25,84,72,38,69,87
SD1031177,0,77,64,65,100,65,60,70,49,68,73,53,60,63
SD1031178,0,75,61,79,100,85,60,80,46,75,75,68,71,79
SD1031179,0,90,73,70,100,91,96,94,74,76,85,77,63,84
SD1031180,0,49,64,77,96,64,50,70,36,73,73,28,29,60
SD1031181,0,76,73,82,95,75,60,92,62,89,74,74,43,60
SD1031182,0,71,60,65,95,61,78,78,72,78,82,68,60,77
SD1031183,1,70,61,71,98,45,76,99,69,87,76,83,64,65
SD1031184,1,69,63,85,65,62,64,80,65,60,61,78,60,78
SD1031185,0,72,70,79,100,85,76,99,60,79,80,71,66,73
SD1031186,0,74,61,64,87,71,70,99,26,62,66,76,60,60
SD1031187,0,80,68,81,100,94,91,99,60,80,80,71,76,84
SD1031188,0,49,60,77,71,0,0,70,60,61,67,68,0,38
SD1031189,0,60,61,83,100,85,62,90,60,75,66,73,60,73
SD1031190,0,91,95,94,100,94,86,99,99,90,80,94,80,95
SD1031191,1,80,63,68,100,88,74,80,60,76,60,65,60,70
SD1031192,1,87,70,87,100,88,84,99,77,86,90,80,65,96
SD1031193,0,49,60,80,87,71,50,79,60,68,67,60,64,60
SD1031194,1,49,60,61,1,35,31,70,47,33,74,56,1,0
SD1031195,1,76,60,60,97,68,60,80,67,72,63,56,30,62
SD1031196,0,91,0,89,100,96,81,91,86,0,81,0,77,85
SD1031197,0,74,61,75,60,62,66,88,60,75,84,52,37,63
SD1031198,1,94,72,79,94,83,78,90,91,90,87,72,68,80
SD1031199,1,67,60,66,98,62,74,70,38,75,65,27,60,40
SD1031201,0,75,60,74,100,63,65,70,60,84,67,69,64,62
SD1031203,0,90,62,73,98,76,81,99,60,84,68,78,60,73
SD1031204,0,60,61,81,87,65,60,88,47,93,73,73,60,80
SD1031205,0,49,61,85,92,63,60,93,43,78,73,54,60,80
SD1031206,1,60,60,84,66,61,60,80,45,61,72,56,60,37
SD1031207,0,70,60,98,100,94,78,99,60,80,100,37,82,70
SD1031208,0,60,60,80,99,45,73,99,63,61,80,60,41,60
SD1031209,0,68,61,75,93,71,60,94,60,81,70,62,60,79
SD1031211,1,89,88,98,100,85,84,99,99,94,100,94,69,79
SD1031212,0,80,61,66,65,45,40,70,42,45,65,61,30,37
SD1031213,0,49,60,78,100,65,90,90,61,88,81,32,71,89
SD1031214,1,72,62,82,100,89,83,85,38,70,70,85,68,78
SD1031219,1,84,75,93,79,91,68,99,91,79,70,76,85,67
SD1031220,1,67,60,62,60,91,60,84,79,66,60,39,52,72
SD1031221,0,60,61,47,82,72,79,84,91,79,65,64,65,64
SD1031222,0,84,86,77,90,68,73,90,92,74,60,65,64,86
SD1031223,0,60,60,52,80,45,52,82,89,74,74,67,62,67
SD1031224,0,77,68,78,85,91,93,94,87,88,83,88,71,97
SD1031225,1,80,66,78,95,71,68,90,85,88,65,82,65,90
SD1031226,0,64,65,77,82,76,78,80,85,80,68,76,74,69
SD1031227,0,95,84,93,100,97,95,98,90,92,92,79,77,99
SD1031228,1,93,76,80,100,95,74,75,93,77,87,84,88,86
SD1031229,1,70,62,67,71,63,69,80,92,77,60,71,62,65
SD1031230,0,70,66,69,80,62,60,94,83,77,63,67,71,68
SD1031231,1,75,72,86,74,78,76,80,83,83,60,78,75,63
SD1031232,1,84,83,87,100,94,78,75,94,83,83,93,92,82
