sid,loam,cala,ec,care,ac,iidm,comap
SD1041075,1,80,77,90,60,86,90
SD1041076,1,95,94,89,96,95,90
SD1041077,0,79,79,90,90,77,88
SD1041078,0,66,88,85,70,62,88
SD1041079,0,75,84,91,80,76,88
SD1041080,1,70,75,92,60,78,91
SD1041081,1,86,86,85,80,78,88
SD1041082,1,80,85,87,70,79,89
SD1041083,0,81,79,91,60,68,89
SD1041084,0,93,93,85,80,80,91
SD1041085,0,92,95,85,92,80,88
SD1041086,0,81,89,89,85,78,93
SD1041087,0,97,89,85,90,78,90
SD1041088,0,79,87,87,60,76,90
SD1041089,1,95,96,88,60,84,89
SD1041090,1,94,73,88,80,71,90
SD1041091,0,98,87,90,75,82,88
SD1041092,0,97,92,86,90,83,89
SD1041093,1,67,76,53,0,65,84
SD1041094,0,72,71,85,82,81,82
SD1041095,1,70,71,90,80,62,90
SD1041096,0,95,78,90,81,78,86
SD1041097,1,69,76,79,60,52,91
SD1041098,0,90,84,89,60,76,90
SD1041099,0,72,80,89,60,70,90
SD1041100,0,60,67,88,70,61,80
SD1041101,1,95,80,92,80,75,88
SD1041103,0,98,96,96,99,90,94
SD1041104,0,75,82,90,98,77,93
SD1041105,1,64,82,94,88,76,92
SD1041106,1,62,91,92,70,65,89
SD1041107,0,74,86,80,60,64,88
SD1041108,0,90,81,91,78,82,90
SD1041109,1,73,98,89,99,76,91
SD1041110,0,91,92,93,99,84,92
SD1041111,1,83,75,86,60,80,90
SD1041113,0,76,79,72,74,55,83
SD1041114,1,95,92,85,86,85,92
SD1041116,1,69,76,83,0,60,88
SD1041117,0,63,71,88,76,86,83
SD1041118,0,71,85,92,60,68,88
SD1041119,1,91,75,85,60,80,83
SD1041120,1,78,75,91,60,69,83
SD1041121,1,61,73,88,69,80,83
SD1041122,0,68,85,92,90,75,90
SD1041123,0,81,80,90,90,81,93
SD1041124,0,71,72,94,60,66,87
SD1041125,0,72,82,93,98,67,88
SD1041128,1,93,82,93,85,97,94
SD1041129,0,94,74,85,77,96,92
SD1041130,1,98,78,92,88,95,91
SD1041131,0,89,75,67,60,92,86
SD1041132,0,89,86,88,89,89,84
SD1041133,1,73,78,90,83,95,88
SD1041134,0,92,97,96,99,90,94
SD1041136,0,92,80,96,86,89,95
SD1041137,1,98,78,97,98,89,90
SD1041138,0,89,76,80,90,58,85
SD1041139,0,95,78,94,99,96,92
SD1041140,1,98,97,96,99,98,94
SD1041141,0,98,84,86,79,88,90
SD1041142,0,98,80,90,60,86,92
SD1041143,0,75,76,89,74,93,87
SD1041144,1,81,74,84,78,76,86
SD1041145,0,70,60,76,62,81,85
SD1041146,0,86,77,84,60,72,85
SD1041147,0,80,60,41,60,77,80
SD1041148,1,85,65,80,76,69,86
SD1041149,0,88,72,92,94,94,91
SD1041150,1,92,79,92,77,71,88
SD1041151,1,76,76,91,66,88,90
SD1041152,0,88,87,93,79,94,93
SD1041153,0,76,74,84,71,70,88
SD1041154,1,85,86,89,69,90,81
SD1041155,1,70,75,85,86,75,86
SD1041156,1,97,92,95,99,98,92
SD1041157,0,80,77,81,72,87,86
SD1041158,0,78,84,88,80,95,92
SD1041159,1,79,90,89,79,90,88
SD1041160,0,72,64,60,60,50,82
SD1041161,1,60,60,30,60,54,80
SD1041162,0,91,76,46,74,78,81
SD1041163,0,74,77,92,60,71,82
SD1041164,0,14,0,0,0,14,81
SD1041165,0,84,88,98,80,98,90
SD1041166,1,94,79,89,60,86,90
SD1041167,0,83,78,84,65,77,87
SD1041168,0,92,75,94,76,91,93
SD1041169,0,81,78,93,60,85,80
SD1041170,0,74,73,90,63,89,91
SD1041171,1,98,79,92,72,99,87
SD1041172,1,92,87,85,71,87,87
SD1041173,1,99,98,96,99,99,94
SD1041174,0,95,69,62,60,84,87
SD1041175,0,77,48,60,60,67,87
SD1041176,0,46,71,34,60,59,81
SD1041177,0,79,75,92,85,86,87
SD1041178,0,31,24,21,0,42,82
SD1041179,1,79,89,86,60,91,94
SD1041180,1,76,68,88,94,80,80
