sid,loam,itdc,mana,eci,buetc,intpr,st,cala,calb,ec,ac,sadm,mis,cppg,dtst,opsy,oopg,pcpg,adcpg,itmuis,nwkpm,itdcn,inkpg,idbs,dbms,boodis
SD970562 ,0,79,71,83,84,70,68,60,60,78,72,74,85,63,63,76,40,63,60,88,75,80,90,68,82,84
SD970563 ,1,65,61,80,71,55,73,62,60,65,77,65,95,60,52,75,60,60,40,71,64,55,90,50,65,80
SD970564 ,0,76,60,77,60,77,65,60,60,64,68,70,89,43,84,90,38,60,46,60,75,39,94,62,78,80
SD970565 ,0,80,70,94,94,70,80,68,73,72,67,77,92,53,66,81,60,60,60,89,73,62,93,70,64,80
SD970566 ,1,77,87,90,74,83,74,90,60,76,62,83,87,63,67,82,66,63,60,82,78,69,85,76,75,86
SD970567 ,1,75,91,82,87,61,70,60,60,79,78,65,90,63,63,74,68,63,50,79,69,76,92,60,70,88
SD970568 ,1,80,80,84,70,60,60,60,60,66,64,74,90,64,79,79,66,64,60,81,76,77,80,65,76,84
SD970569 ,0,66,60,91,99,73,80,61,70,63,72,81,85,70,64,78,69,70,60,83,72,65,92,75,76,80
SD970570 ,1,72,69,77,75,70,68,60,60,76,60,67,81,52,67,73,52,60,45,60,74,71,90,60,76,80
SD970571 ,0,75,84,74,93,66,75,60,60,73,79,76,68,71,74,80,75,71,52,81,65,84,93,78,75,84
SD970572 ,0,70,69,84,86,60,43,60,74,72,60,82,91,73,82,71,65,73,60,62,68,51,84,40,74,80
SD970573 ,0,72,77,87,99,78,82,60,74,81,85,73,88,55,70,76,78,60,48,90,95,97,93,80,79,80
SD970574 ,1,69,68,85,95,85,88,60,63,69,75,78,95,76,87,87,89,76,80,94,95,97,94,74,76,80
SD970575 ,1,76,75,92,94,97,99,70,88,94,92,87,94,99,99,93,98,99,85,97,98,98,91,87,88,80
SD970576 ,1,68,53,86,93,69,63,60,83,73,54,78,87,41,61,87,62,60,52,79,98,77,94,74,77,80
SD970577 ,0,67,72,88,91,75,75,60,85,65,77,71,95,51,71,84,76,60,52,75,88,51,88,78,79,78
SD970578 ,0,67,76,83,88,65,76,60,77,64,76,90,89,40,69,83,75,60,48,86,68,68,93,61,67,78
SD970579 ,0,64,81,71,68,64,64,60,60,68,57,65,83,65,61,68,79,65,60,60,60,24,91,50,70,75
SD970580 ,1,68,68,85,91,49,60,66,60,77,68,65,94,73,68,70,62,73,52,78,80,89,86,60,76,80
