sid,loam,ines,care,cala,calb,ec,st,mana,sadm,mis,pom,itdc,cppg,dtst,oopg,pcpg,nwkpm,itdcn,inkpg,xmwd,idbs,dbms
SD1000636,1,90,86,91,73,88,85,77,84,72,81,78,60,78,65,69,80,84,82,80,78,83
SD1000637,0,91,87,79,85,84,80,78,76,87,78,78,62,71,66,77,85,86,89,81,66,89
SD1000638,0,80,87,96,92,85,88,90,74,80,86,75,78,77,67,64,86,90,83,85,89,91
SD1000639,0,83,89,83,60,77,64,74,62,67,80,66,68,62,64,72,85,88,87,70,77,91
SD1000640,0,91,82,81,68,77,81,80,81,84,87,70,63,73,60,77,81,83,70,63,68,92
SD1000641,0,88,69,95,93,78,75,69,67,81,81,70,66,75,63,62,90,89,71,76,62,88
SD1000642,0,74,49,65,15,69,69,79,66,71,75,74,62,60,42,60,71,50,60,75,60,83
SD1000643,0,69,60,60,22,72,60,60,62,50,71,66,78,55,61,63,40,35,88,47,16,50
SD1000644,1,97,86,78,84,78,93,93,77,88,87,83,84,79,61,67,93,88,79,91,77,94
SD1000645,0,86,62,82,87,79,83,73,72,60,69,84,60,62,76,72,90,76,90,84,63,80
SD1000646,0,87,66,65,60,73,67,62,68,78,75,75,61,63,64,62,60,60,67,60,73,83
SD1000647,0,91,75,70,60,72,69,80,72,74,84,68,60,69,61,75,85,74,92,75,65,90
SD1000648,1,78,86,74,62,81,76,90,80,88,81,78,75,62,74,75,74,84,71,93,77,95
SD1000649,1,94,90,94,90,85,97,94,84,98,91,76,93,78,71,78,87,84,92,94,88,92
SD1000650,0,82,78,60,60,75,60,74,60,71,67,71,60,65,63,72,60,68,60,60,65,85
SD1000651,0,70,69,50,60,84,81,74,80,83,79,73,51,65,68,67,70,73,60,74,55,82
SD1000652,0,78,81,76,62,85,79,68,76,73,85,73,60,67,63,67,87,88,63,88,70,90
SD1000653,0,77,68,78,60,72,67,65,63,66,75,69,54,60,64,76,60,75,73,68,75,89
SD1000654,1,88,46,60,64,75,62,64,66,86,78,66,60,69,62,67,60,47,60,66,71,72
SD1000655,0,77,60,61,60,77,60,63,68,70,76,74,67,55,65,65,72,70,46,60,75,89
SD1000656,1,83,71,64,62,79,66,74,76,80,77,65,60,60,65,67,63,73,45,67,82,87
SD1000657,0,64,60,60,64,71,67,74,77,72,67,67,63,72,71,72,60,45,46,29,70,90
SD1000658,0,91,91,90,82,82,79,79,82,87,82,79,64,73,65,71,93,93,86,83,76,90
SD1000659,0,95,77,60,60,78,87,83,40,91,78,78,60,76,64,60,70,79,44,65,63,89
SD1000660,1,93,75,86,93,86,79,71,70,85,85,71,81,71,56,65,75,83,72,64,65,89
SD1000661,0,73,83,50,1,72,60,68,39,50,63,64,51,56,53,50,50,36,39,0,63,50
SD1000663,0,91,82,89,73,78,100,92,75,95,93,83,84,82,60,68,87,90,60,75,83,90
SD1000664,1,75,75,81,68,78,72,61,52,71,62,76,53,60,64,68,74,65,34,60,60,50
SD1000665,0,71,81,83,60,84,67,66,73,71,74,74,69,70,74,74,78,77,67,85,60,89
SD1000666,0,89,91,60,60,78,65,79,72,66,74,73,60,63,64,61,62,79,70,62,80,80
SD1000667,0,92,93,100,100,87,94,77,80,90,85,81,51,76,66,68,84,89,79,91,91,92
SD1000668,1,78,65,63,60,79,75,69,74,74,78,65,62,71,68,61,70,78,68,60,70,89
SD1000669,0,65,60,73,66,82,76,70,74,61,69,72,60,71,67,83,81,85,86,60,63,87
SD1000670,0,84,86,65,60,74,64,67,61,73,70,65,60,63,63,60,60,60,47,60,66,80
SD1000671,0,80,70,60,60,73,74,90,85,98,82,67,79,64,70,77,79,80,60,76,62,87
SD1000672,0,93,78,92,85,91,83,89,77,85,79,83,69,65,65,71,85,85,60,62,66,89
SD1000673,1,0,0,50,23,73,18,63,27,0,40,75,49,63,70,60,40,26,0,0,55,0
SD1000675,0,0,0,60,6,71,25,55,51,0,0,65,60,66,39,60,22,16,0,66,70,0
SD1000676,1,85,92,88,97,81,91,87,86,87,89,80,75,79,70,88,92,90,64,94,64,89
SD1000677,0,81,89,79,60,81,65,74,72,78,77,69,70,53,71,66,65,85,50,62,62,90
SD1000678,0,81,74,96,97,90,98,96,77,78,93,73,76,86,69,86,98,91,100,100,93,92
SD1000679,0,84,85,77,60,80,64,75,74,88,75,79,65,56,64,68,69,79,79,71,71,90
SD1000680,1,86,78,81,68,83,79,75,80,76,84,67,63,69,54,67,82,78,84,75,67,91
SD1000681,0,88,80,87,60,82,82,86,74,87,88,69,70,75,66,60,83,83,60,73,65,92
SD1000682,0,95,82,72,87,78,79,71,80,92,77,78,78,75,71,68,70,76,61,76,60,80
SD1000683,1,60,0,60,60,73,60,63,67,64,66,70,51,58,60,66,50,60,31,30,60,80
SD1000685,0,90,74,84,81,80,78,77,76,82,85,78,80,78,73,65,85,87,63,80,64,91
SD1000686,1,90,76,81,60,78,84,75,80,68,94,80,60,78,73,67,71,77,69,76,85,91
SD1000687,0,80,82,86,60,79,69,65,60,68,66,75,60,68,56,69,60,60,61,40,55,89
SD1000688,0,87,87,74,60,78,69,68,65,74,66,81,53,63,57,65,68,69,10,40,55,83
SD1000689,1,82,76,62,60,85,87,89,80,78,81,78,83,79,61,81,95,95,96,94,70,92
SD1000690,1,65,73,60,60,74,75,94,82,83,77,83,74,76,60,72,92,47,66,61,63,90
SD1000691,0,91,60,68,64,80,66,70,61,74,70,74,60,69,63,68,44,71,61,74,60,50
SD1000693,0,95,89,83,61,78,93,91,86,93,84,69,80,79,62,68,87,73,71,85,72,93
SD1000700,1,82,68,70,78,78,62,60,91,78,68,69,99,91,98,99,79,83,100,91,61,93
SD1000703,0,80,88,60,60,86,65,83,92,60,82,51,27,75,32,60,82,68,34,62,75,89
SD1000704,0,82,88,89,77,95,65,77,76,94,87,62,60,66,40,60,69,79,84,75,67,90
SD1000705,0,62,86,90,67,81,72,75,95,75,75,50,65,84,66,65,76,87,100,73,67,91
SD1000706,1,78,65,60,60,65,62,77,70,40,48,58,8,49,16,60,60,60,30,60,55,50
SD1000707,1,72,79,68,45,68,67,80,76,60,61,51,12,43,15,60,50,62,20,60,53,50
SD1000708,0,85,88,93,88,92,96,85,98,85,77,70,91,92,86,91,98,93,100,86,70,92
SD1000709,1,82,92,76,60,80,67,80,75,80,67,71,62,48,60,62,66,89,62,68,73,84
SD1000710,0,80,78,71,60,75,66,78,91,60,66,60,49,60,31,60,80,81,69,75,64,72
SD1000711,1,81,47,74,78,87,73,83,77,73,71,73,63,79,61,63,91,92,64,72,66,50
SD1000713,1,78,85,100,80,92,81,80,78,83,74,81,93,66,65,93,88,91,100,87,69,90
SD1000714,1,88,86,98,88,89,81,87,87,85,71,63,72,79,60,72,76,95,68,71,82,92
SD1000715,0,89,86,91,80,94,87,93,85,88,85,67,44,82,35,60,89,93,64,75,87,89
SD1000716,0,84,86,60,66,88,72,81,90,50,70,63,60,77,37,60,62,89,84,68,72,75
SD1000717,0,92,97,98,85,96,92,90,95,98,90,80,60,84,64,60,94,94,91,85,84,94
