sid,loam,ines,cala,calb,ec,pjm,pjmp,st,mana,sadm,mis,itdc,cppg,dtst,oopg,pcpg,nwkpm,itdcn,xmwd,inkpg,idbs,dbms
SD1021033,0,84,79,83,81,92,92,78,88,82,97,76,71,70,60,90,73,85,76,95,89,98
SD1021034,0,83,60,76,75,91,89,67,88,72,94,67,71,79,74,91,68,63,83,96,93,91
SD1021035,0,77,75,78,87,89,94,67,84,61,60,68,82,62,70,87,68,68,87,92,90,83
SD1021037,1,81,63,60,80,93,86,71,84,60,50,61,74,65,62,92,60,29,74,78,87,81
SD1021038,0,79,88,92,81,94,89,88,86,82,74,63,96,89,91,96,93,91,98,96,99,86
SD1021039,1,76,46,5,74,77,82,61,77,60,77,47,40,48,10,70,1,1,50,50,80,80
SD1021040,0,77,69,76,79,91,84,73,66,60,82,57,70,60,60,92,60,60,63,75,83,80
SD1021041,1,79,60,60,76,84,69,61,84,60,60,60,70,52,60,70,31,20,60,72,55,83
SD1021042,0,80,48,60,71,88,91,61,76,66,64,64,50,53,40,70,60,60,60,80,58,80
SD1021043,0,85,66,70,81,94,90,71,89,84,83,62,70,67,76,84,76,68,86,93,95,78
SD1021044,0,86,87,82,91,81,92,90,91,82,94,83,76,81,92,93,86,91,83,92,99,100
SD1021045,1,78,60,73,87,95,87,68,80,66,40,61,75,66,70,87,60,60,68,80,83,70
SD1021046,0,84,78,93,85,92,85,81,88,74,70,79,70,63,65,91,60,72,72,83,92,82
SD1021047,1,86,67,77,81,92,93,60,85,52,72,72,85,65,76,93,60,60,80,83,88,87
SD1021049,1,74,47,28,71,72,85,37,75,45,30,57,70,55,26,82,32,22,71,65,87,72
SD1021050,1,0,60,60,79,79,82,60,78,64,0,60,40,62,74,82,62,73,65,0,80,0
SD1021051,0,78,71,71,77,88,95,75,81,72,80,54,70,75,79,70,42,60,90,89,90,84
SD1021052,1,85,64,67,87,87,94,76,78,72,82,71,72,76,84,80,60,68,87,86,98,88
