sid,loam,cala,calb,ec,pjm,st,mana,itdc,cppg,dtst,oopg,pcpg,nwkpm,itdcn
SD1031038,1,60,60,75,76,61,84,70,73,43,60,73,22,68
SD1031039,1,60,60,61,66,60,83,60,8,26,30,60,50,55
SD1031040,1,75,68,68,75,62,81,60,60,63,62,60,65,86
SD1031041,1,69,65,84,81,80,85,60,60,63,81,60,84,81
SD1031042,1,64,63,76,46,8,42,60,44,0,0,60,0,47
SD1031043,0,85,77,83,69,84,78,67,60,50,88,60,64,80
SD1031044,0,77,74,89,77,60,78,65,25,37,6,60,78,76
SD1031045,1,74,86,86,94,81,85,65,79,84,88,79,89,72
SD1031046,0,60,60,72,68,17,81,70,20,30,26,60,9,73
SD1031047,0,71,82,92,84,65,86,77,48,42,50,60,60,91
SD1031048,1,78,62,81,75,70,87,88,91,75,98,91,88,82
SD1031050,0,72,67,72,70,72,78,78,46,60,40,60,67,82
SD1031051,0,76,73,83,79,80,83,74,60,60,72,60,77,82
SD1031052,1,80,60,76,67,60,68,68,23,31,15,60,36,60
SD1031053,1,60,41,70,45,31,84,82,77,64,89,77,87,69
SD1031054,0,95,85,85,68,60,86,78,60,40,62,60,75,87
SD1031055,0,77,60,85,80,79,77,69,67,40,42,67,85,80
SD1031056,1,60,60,70,80,50,80,75,17,22,22,60,50,57
SD1031057,1,61,60,70,64,60,76,68,33,60,45,60,71,66
SD1031058,0,84,75,74,85,80,83,82,39,49,60,60,84,64
SD1031059,0,60,60,71,69,60,80,58,19,34,31,60,23,63
SD1031060,0,76,79,82,91,85,77,82,94,98,99,94,89,82
SD1031061,1,77,67,75,81,69,88,79,60,64,64,60,78,80
SD1031062,0,60,37,76,73,67,73,71,17,14,5,60,87,54
SD1031063,1,100,93,89,84,96,77,90,98,99,99,98,98,75
SD1031064,1,72,60,71,71,72,75,84,42,61,62,60,78,66
SD1031066,0,73,60,72,66,60,79,65,39,30,25,60,63,76
SD1031067,0,67,60,82,69,60,79,78,14,32,35,60,50,78
SD1031068,0,90,81,91,84,67,74,84,88,86,98,88,90,77
SD1031070,0,82,65,81,61,11,81,64,24,39,60,60,15,70
SD1031071,0,68,60,81,87,97,77,81,70,98,90,70,93,82
SD1031072,0,75,60,80,60,25,75,55,18,10,0,60,13,40
SD1031073,0,90,79,81,74,74,84,80,60,90,80,60,77,73
SD1031074,0,86,70,86,72,63,83,89,72,60,80,72,83,62
SD1031075,0,74,60,71,60,50,84,66,15,26,28,60,37,71
SD1031076,0,90,89,85,80,83,80,70,88,81,94,88,75,75
SD1031077,0,65,60,70,74,73,80,72,87,52,60,87,77,78
SD1031079,0,75,60,75,75,60,80,50,21,22,0,60,66,63
SD1031080,0,81,76,76,85,70,85,74,66,65,82,66,81,79
SD1031081,0,92,89,89,89,80,88,84,78,86,97,78,80,80
SD1031082,0,89,60,81,63,50,44,76,48,35,27,60,29,76
