sid,loam,cala,ec,care,itdc,cppg,pcpg
SD1040958,0,77,86,92,75,60,85
SD1040959,0,85,70,86,71,66,82
SD1040960,0,78,71,83,64,55,85
SD1040961,0,80,74,92,60,65,85
SD1040962,1,60,68,66,55,65,76
SD1040963,0,83,71,89,50,56,85
SD1040964,0,72,67,86,40,61,84
SD1040965,0,87,77,92,60,53,85
SD1040966,0,74,73,86,67,70,85
SD1040967,0,87,87,92,73,60,85
SD1040968,1,78,79,92,71,60,84
SD1040969,1,92,89,78,91,65,85
SD1040970,1,72,86,92,68,54,85
SD1040971,1,73,73,89,62,63,85
SD1040972,1,74,84,92,75,49,85
SD1040973,0,67,72,89,79,63,84
SD1040974,1,79,81,89,87,75,85
SD1040975,0,85,78,89,77,73,85
SD1040976,0,69,74,92,74,67,85
SD1040977,0,91,90,92,74,60,85
SD1040978,0,72,76,86,62,56,85
SD1040979,0,74,72,89,67,66,85
SD1040981,0,88,85,92,79,60,85
SD1040982,0,92,81,92,85,70,85
SD1040983,0,94,74,92,84,60,85
SD1040984,1,89,77,92,83,60,85
SD1040985,0,86,62,86,83,60,85
SD1040986,0,92,72,92,67,53,85
SD1040987,0,81,72,92,61,61,85
SD1040988,1,73,70,89,71,60,84
SD1040989,0,68,77,89,72,60,85
SD1040990,0,75,69,83,40,62,85
SD1040991,1,94,75,89,84,62,85
SD1040992,0,75,80,83,55,66,85
SD1040993,1,77,75,76,62,60,84
SD1040994,0,78,74,86,60,67,85
SD1040995,1,80,76,83,60,72,85
SD1040996,1,76,76,89,77,56,85
SD1040997,0,67,71,89,60,61,85
SD1040998,1,93,77,92,87,60,85
SD1040999,0,74,76,89,72,60,85
SD1041000,0,76,83,89,72,69,85
SD1041001,0,73,78,88,60,60,85
SD1041002,0,86,81,89,65,60,85
SD1041003,1,77,77,89,64,77,85
SD1041004,1,91,90,92,62,62,85
SD1041005,0,93,84,92,86,72,85
SD1041006,0,75,74,86,60,72,85
SD1041007,0,79,72,89,77,61,85
SD1041008,0,92,80,92,71,61,85
SD1041009,0,87,76,89,60,69,85
SD1041010,1,76,78,92,61,62,84
SD1041011,1,73,80,82,80,73,81
SD1041012,1,80,75,83,60,66,85
SD1041013,0,86,78,92,76,75,84
SD1041014,0,85,63,76,60,60,82
SD1041015,1,79,68,92,89,77,77
SD1041016,1,91,70,92,97,78,78
SD1041017,0,96,68,92,64,70,70
SD1041018,0,79,70,92,74,37,60
SD1041019,0,82,78,92,84,48,60
SD1041020,0,93,85,92,77,74,74
SD1041021,0,90,80,92,85,60,60
SD1041022,0,83,90,92,95,50,60
SD1041023,1,75,86,92,65,28,60
SD1041024,0,89,82,92,93,73,73
SD1041025,0,88,88,92,91,92,92
SD1041026,0,72,64,92,86,67,67
SD1041027,0,78,62,92,80,24,60
SD1041028,0,84,70,86,69,67,67
SD1041029,1,82,70,86,82,64,64
SD1041030,0,85,70,92,77,60,60
SD1041031,1,66,64,92,71,37,60
SD1041032,0,84,70,92,88,49,60
SD1041033,0,78,70,92,81,30,60
SD1041034,0,84,62,92,60,47,60
SD1041035,0,74,70,92,60,27,60
SD1041036,0,75,74,92,71,60,60
SD1041037,1,83,92,92,79,49,60
SD1041038,0,85,70,92,50,38,60
SD1041039,0,81,70,86,50,24,60
SD1041040,0,75,84,92,81,34,60
SD1041041,0,82,64,86,77,50,60
SD1041042,0,82,82,80,84,69,69
SD1041043,0,83,84,92,89,61,61
SD1041044,0,76,62,92,84,75,75
SD1041045,1,80,62,92,63,30,60
SD1041046,0,88,70,92,83,61,61
SD1041047,1,77,70,92,60,44,60
SD1041048,1,77,65,86,63,30,60
SD1041049,0,93,70,92,90,47,60
SD1041050,0,75,96,92,79,45,60
SD1041051,0,75,94,86,83,35,60
SD1041052,1,74,84,92,71,49,60
SD1041053,0,70,62,86,40,15,15
SD1041054,0,66,82,92,74,74,74
SD1041055,1,76,70,86,67,22,60
SD1041056,0,74,65,86,55,25,60
SD1041058,0,94,64,92,70,36,60
SD1041059,1,84,79,86,97,70,70
SD1041060,0,84,70,92,86,75,75
SD1041061,0,77,70,86,76,47,60
SD1041062,1,85,72,92,82,46,60
SD1041063,0,88,72,92,87,86,86
SD1041064,0,98,89,80,91,50,60
SD1041065,0,81,78,92,89,49,60
SD1041066,0,63,78,89,68,50,60
SD1041069,1,30,62,86,40,64,64
SD1041070,0,81,86,86,89,53,60
SD1041071,1,90,70,92,77,60,60
SD1041072,0,90,89,92,99,38,60
SD1041073,0,91,70,92,95,60,60
SD1041074,0,93,80,92,90,60,60
