sid,ines,cala,calb,ec,pjm,pjmp,sta,stb,apec,myba,mybb,imaca,imacb,claw,bul,fma,fmb,ivm,inse,mfin
SD1020767,78,93,90,52,84,98,48,72,60,79,75,26,0,74,82,60,62,60,72,72
SD1020768,NA,63,10,42,NA,NA,NA,NA,50,NA,NA,27,6,73,82,NA,NA,NA,NA,NA
SD1020769,70,82,76,52,84,95,67,82,50,70,77,60,60,75,82,60,64,73,73,81
SD1020770,68,98,95,49,85,100,75,92,54,84,68,60,66,77,84,64,72,73,69,75
SD1020771,99,98,93,87,93,100,96,99,82,95,93,100,100,77,90,100,99,97,90,91
SD1020772,70,68,64,60,87,90,67,60,51,79,76,60,60,82,82,60,60,73,64,78
SD1020773,90,68,66,77,82,100,74,88,66,68,78,69,65,75,82,60,63,80,85,72
SD1020774,90,78,65,78,85,100,90,93,63,78,74,74,60,74,82,74,70,78,86,76
SD1020775,66,98,99,67,88,95,77,79,60,87,78,68,87,78,82,72,77,73,74,71
SD1020776,84,78,19,72,82,93,47,60,60,60,69,60,60,68,76,60,60,70,69,78
SD1020777,83,79,67,68,79,98,65,81,51,77,77,60,60,55,82,69,74,71,70,79
SD1020779,78,73,72,60,84,92,63,75,60,76,79,35,14,73,82,63,74,73,71,74
SD1020780,84,68,61,81,88,97,60,60,67,76,73,66,77,66,83,77,72,80,74,75
SD1020781,79,35,60,63,75,100,60,60,49,71,73,39,60,60,82,60,60,60,88,76
SD1020782,85,73,84,71,88,100,66,86,47,73,73,65,67,76,82,60,71,68,84,70
SD1020783,90,83,70,60,77,97,68,77,60,81,77,69,60,76,82,64,36,84,80,74
SD1020784,90,69,65,66,83,97,80,73,49,77,66,55,60,70,82,67,68,69,77,81
SD1020785,91,96,82,79,92,100,96,100,78,98,83,78,99,70,82,88,88,93,80,88
SD1020786,80,60,6,61,83,100,37,60,43,73,77,60,0,76,82,60,26,60,66,68
SD1020787,90,77,81,74,86,98,89,96,66,87,86,78,95,76,82,76,76,87,86,79
SD1020788,88,69,60,80,79,95,41,65,66,68,72,60,80,74,82,67,66,74,70,75
SD1020789,88,88,79,81,83,100,74,90,66,81,75,84,83,71,82,64,68,72,78,77
SD1020790,NA,28,NA,65,NA,NA,NA,NA,NA,NA,NA,30,NA,50,NA,NA,NA,NA,NA,NA
SD1020791,99,91,92,85,93,100,95,100,83,99,90,99,100,83,87,96,98,98,96,90
SD1020792,70,65,75,60,79,99,66,85,60,68,79,60,62,72,82,76,77,75,63,75
SD1020793,90,61,61,74,83,100,60,60,61,70,78,60,65,72,82,60,61,92,66,82
SD1020794,79,22,4,64,81,96,26,3,60,64,86,50,60,60,83,60,60,60,71,75
SD1020795,69,76,60,65,80,90,48,60,70,75,81,29,0,73,82,60,64,60,64,75
SD1020796,93,32,68,71,81,97,60,82,60,80,89,43,76,60,90,60,60,71,71,72
SD1020798,70,77,85,60,82,100,70,98,60,81,82,73,96,85,82,87,75,88,62,80
SD1020800,NA,39,60,60,78,86,43,61,54,73,79,32,8,78,60,60,62,NA,63,NA
SD1020801,80,72,76,70,86,92,63,84,55,82,75,60,0,77,81,62,73,63,76,76
SD1020802,90,75,60,70,74,96,60,60,55,79,77,68,60,60,82,60,61,65,73,74
SD1020803,90,88,96,84,85,100,62,86,77,80,84,86,95,75,82,73,85,89,77,77
SD1020804,84,71,60,75,81,95,63,60,68,81,78,32,60,67,84,41,33,53,77,69
SD1020805,84,61,61,68,82,83,36,8,60,68,73,65,53,77,82,39,30,65,64,85
SD1020806,84,42,8,62,78,95,35,0,43,75,66,20,0,55,82,60,60,72,77,70
SD1020807,80,66,66,75,83,99,62,61,60,75,75,42,68,65,84,60,67,81,68,75
SD1020808,NA,79,NA,64,NA,NA,NA,NA,NA,NA,NA,60,NA,75,NA,NA,NA,NA,NA,NA
SD1020809,88,60,60,68,85,94,60,84,62,78,76,74,65,81,83,69,60,67,78,71
SD1020810,90,94,94,87,87,99,65,87,69,78,74,86,93,79,82,87,89,90,76,82
SD1020811,85,82,79,76,83,100,88,82,61,83,77,72,76,60,82,69,63,78,75,79
SD1020812,79,61,2,60,79,100,NA,12,52,73,61,60,61,72,83,60,34,60,74,76
SD1020813,83,36,21,72,75,92,25,12,60,75,72,60,60,72,82,32,60,37,63,71
SD1020814,93,62,88,74,88,96,77,82,66,74,82,70,80,74,82,79,77,91,84,79
SD1020815,70,20,NA,60,36,72,3,0,43,62,63,17,60,73,82,NA,NA,1,60,60
SD1020816,80,61,60,67,80,97,42,60,60,81,85,40,0,72,82,60,66,60,70,75
SD1020817,84,46,26,60,81,100,47,20,42,62,73,22,62,74,83,60,60,64,72,76
SD1020818,84,60,61,71,83,100,71,75,52,75,85,62,60,72,82,60,61,62,73,67
SD1020819,69,75,60,47,76,100,10,5,41,50,75,7,NA,73,82,35,41,52,60,76
SD1020820,NA,70,NA,NA,NA,NA,69,66,85,60,63,60,60,NA,NA,NA,NA,NA,48,NA
SD1020834,95,99,93,94,91,100,96,86,92,85,86,NA,NA,81,85,82,76,92,95,83
SD1020835,90,98,90,81,86,100,64,78,74,86,93,71,NA,82,85,74,82,86,81,84
