sid,cala,ec,care,imaca,claw
SD1040712,96,75,88,87,78
SD1040714,38,60,88,60,76
SD1040715,60,80,88,77,78
SD1040716,75,76,88,60,84
SD1040717,67,80,78,80,73
SD1040718,87,80,88,81,87
SD1040719,45,60,88,60,82
SD1040720,74,86,88,91,84
SD1040721,66,76,86,60,87
SD1040722,36,60,78,60,55
SD1040723,43,63,88,60,89
SD1040724,65,65,78,60,80
SD1040725,70,69,88,75,75
SD1040727,63,79,88,60,93
SD1040728,67,79,88,60,76
SD1040729,60,60,78,60,82
SD1040730,60,67,88,71,88
SD1040731,77,81,88,60,82
SD1040732,44,78,88,60,78
SD1040733,60,66,88,60,88
SD1040734,80,71,88,62,86
SD1040735,42,72,88,63,81
SD1040736,22,62,78,61,77
SD1040737,72,87,88,86,79
SD1040738,88,71,86,60,81
SD1040739,76,75,78,60,81
SD1040740,99,71,88,67,85
SD1040741,60,64,88,77,73
SD1040742,85,79,88,60,79
SD1040743,87,60,88,60,83
SD1040744,15,60,88,60,76
SD1040745,22,67,88,63,73
SD1040746,68,66,78,71,76
SD1040747,99,96,88,100,90
SD1040748,63,79,88,60,71
SD1040749,86,75,88,70,87
SD1040750,49,73,78,82,85
SD1040751,25,60,88,60,70
SD1040752,47,62,88,60,80
SD1040753,98,86,88,77,78
SD1040754,80,95,75,78,84
SD1040755,64,65,78,60,70
SD1040756,66,70,88,60,84
SD1040757,66,77,88,77,87
SD1040758,60,81,88,91,83
SD1040759,89,84,88,74,89
SD1040760,77,83,88,67,81
SD1040761,60,71,88,60,82
SD1040762,91,80,88,100,72
SD1040763,64,60,68,60,62
SD1040780,65,98,88,75,89
SD1040781,60,47,76,60,89
SD1040782,76,83,88,70,74
SD1040783,75,72,82,60,82
SD1040784,32,77,60,60,85
SD1040785,88,66,88,68,88
SD1040786,60,55,82,60,83
SD1040787,63,70,76,60,82
SD1040788,40,68,73,60,73
SD1040789,67,70,76,67,85
SD1040790,61,65,82,60,86
SD1040791,76,63,82,46,87
SD1040792,60,69,82,60,82
SD1040793,60,57,88,64,77
SD1040794,60,55,76,60,84
SD1040795,85,86,88,99,77
SD1040796,76,88,85,78,86
SD1040797,77,96,88,81,85
SD1040798,19,69,88,60,84
SD1040799,69,81,88,60,NA
SD1040800,48,61,64,60,85
SD1040801,71,60,82,60,84
SD1040802,65,69,88,67,77
SD1040803,78,84,88,94,81
SD1040804,60,65,79,60,81
SD1040805,74,87,88,72,92
SD1040806,95,60,88,64,85
SD1040807,31,77,70,76,78
SD1040808,60,71,70,75,85
SD1040809,64,60,88,60,87
SD1040810,60,82,82,60,84
SD1040811,80,74,82,60,83
SD1040812,35,70,76,69,84
SD1040813,78,69,88,72,80
SD1040814,46,50,82,60,82
SD1040816,64,60,70,60,85
SD1040817,86,73,88,60,82
SD1040818,67,77,88,74,87
SD1040819,66,85,88,75,78
SD1040820,68,74,88,60,82
SD1040821,93,86,88,100,82
SD1040822,66,63,82,60,86
SD1040823,98,94,88,100,82
SD1040824,87,66,82,63,83
SD1040825,33,63,88,60,78
SD1040826,60,72,88,60,76
SD1040827,62,76,82,60,82
SD1040828,66,85,88,60,77
SD1040829,89,85,88,86,60
SD1040830,97,86,88,100,75
