sid,ines,care,cala,calb,ec,quma,oprs,lgma,pom,erp,ac,iidm,mana,comap,apeci,mots,hufa,adpjm,sta,stb
SD1011298,97,92,98,95,99,95,99,87,98,99,89,94,91,92,72,99,98,99,97,97
SD1011299,82,70,98,83,94,82,98,83,80,93,81,94,74,90,62,70,66,97,94,95
SD1011300,NA,NA,87,75,60,NA,NA,NA,NA,NA,66,89,73,77,NA,NA,NA,NA,NA,NA
SD1011301,95,85,87,83,82,86,96,80,95,88,76,93,82,85,87,99,79,97,95,95
SD1011302,88,90,98,79,99,80,97,86,88,97,99,91,89,100,65,84,94,100,95,97
SD1011303,94,90,83,83,81,81,93,85,89,77,88,94,87,93,99,88,95,100,90,97
SD1011304,84,90,94,84,95,90,98,76,96,90,91,93,89,85,85,99,80,100,90,91
SD1011305,85,88,88,70,91,85,70,81,82,86,64,94,80,82,NA,68,76,97,89,83
SD1011306,75,1,98,79,89,67,90,73,80,60,78,93,87,67,80,84,69,98,86,91
SD1011307,76,80,98,82,76,75,76,81,86,86,85,94,83,81,86,88,67,97,83,87
SD1011308,83,70,74,69,60,71,72,66,72,60,64,84,66,63,38,73,60,73,71,78
SD1011309,79,80,81,71,75,75,84,87,82,64,69,77,78,67,NA,78,66,90,66,84
SD1011310,88,85,98,90,71,80,71,77,73,79,73,87,80,92,83,86,80,100,87,90
SD1011311,76,85,89,70,71,80,72,82,88,66,83,84,85,62,NA,90,81,96,82,89
SD1011312,70,75,82,73,70,65,70,78,90,66,76,88,82,73,NA,77,68,96,81,87
SD1011313,NA,NA,87,75,86,NA,NA,NA,NA,NA,90,93,67,88,28,NA,NA,NA,NA,NA
SD1011314,65,1,48,52,99,NA,60,53,70,60,94,80,65,60,1,70,NA,60,37,60
SD1011315,82,85,83,72,81,73,85,77,82,82,82,90,70,74,79,78,77,94,86,82
SD1011316,61,70,98,81,86,65,40,55,75,60,99,91,84,84,NA,60,52,96,60,67
SD1011317,NA,NA,86,79,93,NA,NA,NA,NA,NA,91,89,89,88,NA,NA,NA,NA,NA,NA
SD1011318,80,80,91,82,80,76,90,80,76,84,99,92,85,88,82,96,71,97,87,87
SD1011319,76,80,84,73,82,80,67,80,88,60,96,87,79,71,NA,79,68,95,84,86
SD1011320,78,90,97,82,81,75,98,82,88,87,87,89,86,80,89,90,70,100,74,95
SD1011321,86,95,98,88,98,76,91,89,70,94,99,87,88,95,60,84,91,100,92,99
SD1011322,71,85,68,64,70,66,70,74,83,62,88,79,74,60,55,79,45,91,60,61
SD1011323,70,70,98,82,72,54,73,85,76,64,42,85,72,60,NA,73,76,60,66,77
SD1011324,65,1,98,99,79,47,91,66,79,37,71,92,73,87,83,60,60,96,91,94
SD1011325,88,90,98,78,90,80,88,85,84,80,86,95,88,97,92,98,83,100,87,94
SD1011326,67,65,76,66,64,75,60,78,83,60,73,84,70,61,NA,70,49,95,44,60
SD1011327,75,1,85,67,67,70,60,71,88,60,60,82,62,60,NA,62,54,88,47,60
SD1011328,67,65,98,52,76,75,64,74,85,60,68,81,68,68,NA,60,68,96,66,79
SD1011329,73,80,98,69,67,73,48,80,86,60,60,81,73,78,NA,85,70,100,63,74
SD1011330,NA,NA,62,67,79,60,60,47,60,NA,63,80,67,69,79,60,60,60,35,60
SD1011331,88,80,98,95,91,83,88,72,78,78,75,96,87,98,97,97,77,99,89,94
SD1011332,74,80,94,81,62,72,74,76,80,67,74,83,83,65,55,75,51,96,38,79
SD1011333,90,85,98,98,92,73,94,81,90,81,94,96,80,100,85,95,79,100,94,97
SD1011334,84,85,98,90,82,70,66,77,88,81,69,91,85,84,72,85,74,99,77,90
SD1011335,84,90,95,87,65,66,69,71,88,71,60,92,77,81,71,75,70,90,69,83
SD1011336,72,1,74,63,72,80,72,66,93,60,70,78,60,69,NA,60,60,60,60,60
SD1011338,74,80,85,81,80,65,80,73,72,78,84,88,72,85,67,83,71,100,62,91
SD1011339,90,1,98,80,80,82,88,75,71,76,89,95,84,100,96,99,86,100,96,96
SD1011340,75,75,90,81,85,76,75,75,66,61,70,80,73,70,NA,70,69,90,42,78
SD1011341,NA,NA,36,63,77,NA,48,NA,60,NA,62,77,48,60,1,72,60,NA,60,60
SD1011342,88,80,91,75,83,76,87,76,79,84,73,84,83,91,60,78,76,100,90,95
SD1011344,80,85,98,85,82,74,72,81,80,94,85,99,82,97,84,76,67,100,68,86
SD1011345,73,85,83,84,86,70,95,72,88,86,93,83,80,68,88,70,70,100,81,94
SD1011347,71,1,69,72,79,70,71,68,77,60,78,79,82,74,NA,86,64,99,63,71
SD1011348,66,1,73,68,60,77,40,65,90,60,94,78,67,60,NA,70,41,92,33,62
SD1011350,86,80,91,83,91,81,89,85,91,93,82,94,86,94,80,82,74,100,68,92
SD1011351,75,80,68,60,80,70,62,80,60,68,74,85,80,61,NA,65,62,95,62,81
SD1011352,0,1,73,74,69,30,30,1,76,22,74,85,50,69,NA,60,10,60,28,20
SD1011353,76,80,70,60,61,75,63,80,60,66,60,81,63,70,NA,75,68,99,71,85
SD1011354,80,80,NA,75,NA,75,87,78,88,74,NA,NA,NA,NA,70,99,73,94,NA,89
SD1011355,88,85,NA,NA,85,85,NA,88,85,81,60,80,NA,NA,NA,88,82,97,90,92
SD1011356,81,80,60,81,NA,75,86,79,87,80,NA,NA,NA,NA,65,98,63,92,80,87
SD1011357,89,70,80,74,NA,66,NA,69,NA,83,60,71,NA,NA,NA,62,NA,100,NA,NA
SD1011358,80,70,26,63,NA,70,60,NA,60,70,NA,60,NA,67,60,64,70,96,NA,80
SD1011359,89,80,60,60,48,76,60,81,68,72,41,87,60,10,61,81,52,87,61,72
SD1011360,90,80,93,72,91,90,93,72,75,76,63,94,80,46,79,84,76,98,87,79
SD1011361,84,1,69,80,77,71,76,67,70,60,69,83,83,60,92,77,80,92,86,82
SD1011362,94,85,82,71,65,75,72,78,78,80,98,86,60,78,81,78,67,100,82,88
SD1011363,90,85,89,87,86,95,98,89,98,95,98,86,97,81,94,94,90,100,92,93
SD1011364,NA,NA,83,66,68,NA,60,NA,NA,NA,83,87,61,62,60,71,NA,NA,61,NA
SD1011365,76,90,63,71,63,73,85,83,65,88,98,82,85,60,70,92,77,100,84,81
SD1011366,75,1,34,43,52,55,48,49,75,27,61,60,48,10,56,60,47,96,40,60
SD1011367,81,80,71,73,57,72,60,73,60,77,60,82,63,51,83,71,60,98,63,65
SD1011368,92,90,93,93,99,93,98,92,95,98,96,94,99,65,99,95,98,100,96,98
SD1011369,89,90,72,68,80,93,75,71,85,80,62,79,73,76,76,83,84,99,71,81
SD1011370,91,90,90,78,71,82,94,86,82,84,96,93,64,41,78,93,79,100,84,95
SD1011371,91,85,98,91,79,92,96,85,86,84,93,84,87,86,84,84,81,100,91,87
SD1011372,94,90,90,86,94,86,96,82,92,85,99,87,83,86,74,93,82,100,90,93
SD1011373,74,1,82,60,61,60,30,68,65,28,80,81,61,75,55,60,40,96,40,NA
SD1011374,87,85,62,66,68,80,61,82,82,87,86,84,80,82,71,83,78,100,78,68
SD1011375,79,1,49,75,76,80,61,84,80,67,97,74,64,75,70,87,53,99,61,73
SD1011376,81,85,73,66,70,66,62,83,60,84,96,83,68,16,52,77,61,99,80,73
SD1011377,82,80,85,64,60,90,61,74,86,77,98,83,65,40,60,83,71,95,69,75
SD1011378,90,90,78,84,75,92,96,83,95,89,90,86,85,60,92,92,82,100,88,86
SD1011379,81,80,49,64,64,85,72,87,80,83,92,82,61,17,66,74,66,98,65,86
SD1011380,88,80,64,76,65,70,78,73,85,72,90,86,74,60,71,79,78,95,66,80
SD1011381,83,80,98,78,83,88,93,87,86,87,97,86,95,88,84,82,76,99,77,93
SD1011382,90,85,93,92,92,98,92,87,99,92,97,92,85,83,97,94,83,99,87,95
SD1011383,NA,NA,25,70,60,NA,61,NA,75,NA,40,73,48,10,56,60,NA,NA,45,NA
SD1011384,89,80,98,94,78,90,81,67,88,81,81,90,66,65,89,84,79,100,84,87
SD1011386,83,88,84,88,79,80,70,85,85,87,84,85,92,60,80,80,75,99,80,86
SD1011387,87,90,98,75,92,83,79,83,90,90,74,93,78,60,93,81,79,100,68,80
SD1011388,90,88,91,80,90,92,96,90,96,97,85,93,98,10,100,91,95,100,95,98
SD1011389,84,80,82,77,90,71,67,73,75,69,77,65,72,51,68,86,68,74,72,74
SD1011390,70,80,89,88,70,45,71,74,99,60,80,60,88,95,64,88,33,60,73,78
SD1011391,NA,NA,29,38,60,NA,40,NA,60,NA,45,72,48,10,45,20,NA,NA,20,NA
SD1011392,84,80,90,72,72,75,70,72,88,83,61,78,77,53,67,60,81,94,81,87
SD1011393,84,85,82,60,61,76,60,64,80,70,81,72,64,10,56,60,60,92,76,78
SD1011394,NA,NA,25,41,37,NA,NA,NA,NA,NA,30,45,30,10,28,NA,NA,NA,NA,NA
SD1011395,81,88,74,87,62,73,48,78,75,80,62,72,62,10,52,60,74,84,79,74
SD1011396,84,80,80,61,81,88,79,66,78,73,61,76,62,60,64,77,66,99,87,82
SD1011397,88,88,86,94,75,90,94,72,78,82,95,91,90,82,98,82,81,99,96,95
SD1011398,81,70,71,60,60,72,64,74,85,79,73,71,60,21,60,60,52,98,69,61
SD1011399,81,1,48,73,56,75,77,79,70,82,88,78,77,43,70,87,56,98,64,60
SD1011400,NA,NA,79,77,71,NA,NA,NA,NA,NA,99,85,70,60,70,NA,NA,NA,NA,NA
SD1011402,66,70,35,62,60,65,48,66,70,65,75,74,71,17,73,79,51,60,61,60
SD1011403,94,80,60,60,78,75,80,76,80,83,93,79,92,60,88,77,73,94,85,81
SD1011404,94,85,33,65,72,81,30,64,68,60,70,60,71,10,47,69,45,80,45,61
SD1011405,82,80,73,60,69,86,85,67,95,81,99,82,72,10,78,97,71,100,95,96
SD1011406,NA,NA,81,45,79,NA,NA,NA,NA,NA,98,86,90,80,56,NA,NA,NA,NA,NA
SD1011407,79,80,78,73,60,77,60,77,93,74,87,76,66,10,60,72,66,99,68,70
SD1011408,95,85,83,72,75,80,96,87,82,89,94,83,62,76,67,81,72,100,71,93
SD1011409,79,85,60,61,62,53,83,81,80,74,88,85,60,36,52,79,64,98,60,77
SD1011410,82,85,68,75,86,70,82,80,88,65,99,82,70,72,74,84,66,99,89,72
SD1011411,NA,NA,60,63,74,NA,NA,NA,NA,NA,99,89,80,29,71,NA,NA,NA,NA,NA
SD1011412,91,85,85,77,91,80,90,86,90,90,99,90,81,31,81,81,83,100,91,95
SD1011413,84,80,NA,NA,65,76,62,71,85,60,43,NA,65,NA,76,85,76,98,NA,NA
SD1011414,81,80,NA,NA,77,81,68,79,85,76,60,NA,84,NA,96,76,72,100,85,NA
SD1011415,89,80,76,NA,76,73,60,76,70,66,60,81,80,NA,73,80,61,97,71,NA
SD1011416,80,80,NA,NA,60,72,68,63,73,75,60,80,NA,NA,NA,80,60,96,87,67
SD1011418,80,85,NA,NA,NA,76,NA,87,84,86,92,NA,NA,60,NA,77,70,99,75,77
