sid,ines,care,cala,calb,ec,st,mana,sadm,mis,pom,itdc,cppg,dtst,oopg,pcpg,nwkpm,itdcn,inkpg,xmwd,idbs,dbms
SD1011122,89,88,79,75,90,64,75,90,75,83,73,60,67,60,69,70,62,75,90,75,100
SD1011123,NA,NA,97,94,96,NA,NA,NA,NA,NA,96,71,NA,60,78,NA,67,NA,NA,NA,NA
SD1011124,85,53,67,60,86,60,82,79,60,65,79,68,69,60,72,38,50,63,68,64,68
SD1011125,93,95,92,95,88,72,87,82,60,83,87,81,87,77,85,83,89,87,80,83,88
SD1011127,86,88,92,96,80,83,70,80,72,82,88,77,85,85,81,70,75,80,91,76,100
SD1011129,97,87,91,89,84,73,78,68,66,83,94,75,86,60,79,63,83,72,85,80,84
SD1011130,NA,NA,60,60,78,NA,NA,NA,NA,NA,66,70,NA,74,80,NA,70,NA,NA,NA,NA
SD1011131,91,91,100,93,72,72,68,87,70,90,82,85,80,81,88,96,94,97,95,78,86
SD1011132,86,79,93,94,96,81,82,82,62,90,90,80,85,80,87,95,92,90,92,83,94
SD1011133,93,90,63,80,80,81,86,88,85,91,82,67,82,85,71,92,87,85,95,82,100
SD1011134,90,75,73,71,88,60,69,87,66,69,84,60,76,60,70,60,60,64,79,71,90
SD1011135,76,84,89,79,77,63,80,65,62,68,71,80,65,61,84,63,43,64,70,60,82
SD1011136,89,70,80,81,86,81,80,85,64,90,95,64,84,76,72,81,75,95,85,76,92
SD1011137,88,92,82,86,85,64,70,81,62,76,92,60,75,60,65,60,66,70,79,74,87
SD1011138,83,72,72,70,70,60,69,79,63,68,75,36,76,60,60,35,40,52,72,63,73
SD1011139,83,83,71,66,66,60,63,78,60,63,57,35,70,60,60,7,65,61,63,51,60
SD1011140,92,84,80,77,90,69,66,74,70,81,96,63,79,60,71,21,65,61,70,54,79
SD1011141,92,72,75,70,80,70,75,66,84,67,67,47,78,40,66,60,63,64,80,60,80
SD1011142,82,86,95,94,96,60,77,91,74,79,76,65,77,84,71,25,60,62,89,80,80
SD1011144,NA,NA,70,63,74,60,65,1,NA,1,66,64,61,70,71,43,55,NA,45,4,NA
SD1011145,92,92,85,80,91,67,68,88,82,88,95,82,81,80,86,70,64,66,83,77,88
SD1011146,71,84,81,66,87,60,82,67,63,61,50,80,63,65,82,77,45,50,80,60,65
SD1011147,91,93,82,79,81,80,81,82,74,77,97,85,82,80,87,93,96,86,75,74,86
SD1011148,NA,NA,69,40,76,NA,NA,NA,NA,NA,58,46,NA,23,65,NA,61,NA,NA,NA,NA
SD1011149,86,74,72,72,85,60,81,87,60,84,89,68,84,46,72,60,60,61,69,79,66
SD1011150,97,86,75,75,80,67,81,80,80,76,79,43,79,44,60,60,65,69,82,71,100
SD1011151,82,66,86,80,72,66,79,78,77,75,93,53,80,40,69,25,46,65,71,68,69
SD1011152,88,89,83,89,81,72,71,75,72,80,81,61,83,60,69,78,76,83,89,72,85
SD1011153,84,79,83,81,88,73,77,87,75,85,86,68,87,60,75,86,74,82,90,77,88
SD1011154,75,NA,62,62,82,60,78,52,76,NA,73,96,62,80,95,64,76,NA,68,70,82
SD1011155,99,88,84,87,90,74,81,76,66,80,70,62,77,65,68,64,80,87,76,60,90
SD1011157,86,73,82,75,87,75,76,88,60,67,93,77,83,60,81,67,60,60,67,60,70
SD1011158,84,94,81,81,90,68,68,67,60,69,82,66,63,79,74,60,67,63,66,78,79
SD1011159,92,82,80,93,71,67,73,74,65,77,83,46,80,60,65,60,63,79,76,68,65
SD1011160,86,66,75,64,83,60,74,80,60,65,82,44,86,60,65,14,39,75,73,70,79
SD1011161,99,82,85,100,90,70,69,83,74,81,96,74,76,87,81,60,77,90,84,76,85
SD1011162,84,13,72,64,83,60,72,74,50,39,76,27,60,40,60,2,65,51,72,68,18
SD1011163,78,83,76,77,75,60,73,82,67,63,72,44,68,40,61,60,53,67,73,52,65
SD1011164,83,91,86,90,78,60,60,80,70,85,86,43,75,62,66,41,49,74,75,53,81
SD1011166,87,80,73,74,86,68,66,84,60,80,76,42,78,61,65,61,62,42,74,64,71
SD1011167,85,51,77,74,76,60,67,80,60,69,86,63,72,60,67,60,53,77,74,76,71
SD1011168,75,51,64,68,73,60,71,77,55,72,67,26,78,60,60,60,50,42,78,66,60
SD1011169,92,92,88,80,81,71,78,76,65,82,93,61,87,60,69,73,83,80,82,78,72
SD1011170,90,80,79,76,86,68,70,90,86,92,96,62,75,46,68,70,71,84,79,62,94
