sid,cala,ec,care,itdc,cppg,pcpg
SD1040958,77,86,92,75,60,85
SD1040959,85,70,86,71,66,82
SD1040960,78,71,83,64,55,85
SD1040961,80,74,92,60,65,85
SD1040962,60,68,66,55,65,76
SD1040963,83,71,89,50,56,85
SD1040964,72,67,86,40,61,84
SD1040965,87,77,92,60,53,85
SD1040966,74,73,86,67,70,85
SD1040967,87,87,92,73,60,85
SD1040968,78,79,92,71,60,84
SD1040969,92,89,78,91,65,85
SD1040970,72,86,92,68,54,85
SD1040971,73,73,89,62,63,85
SD1040972,74,84,92,75,49,85
SD1040973,67,72,89,79,63,84
SD1040974,79,81,89,87,75,85
SD1040975,85,78,89,77,73,85
SD1040976,69,74,92,74,67,85
SD1040977,91,90,92,74,60,85
SD1040978,72,76,86,62,56,85
SD1040979,74,72,89,67,66,85
SD1040981,88,85,92,79,60,85
SD1040982,92,81,92,85,70,85
SD1040983,94,74,92,84,60,85
SD1040984,89,77,92,83,60,85
SD1040985,86,62,86,83,60,85
SD1040986,92,72,92,67,53,85
SD1040987,81,72,92,61,61,85
SD1040988,73,70,89,71,60,84
SD1040989,68,77,89,72,60,85
SD1040990,75,69,83,40,62,85
SD1040991,94,75,89,84,62,85
SD1040992,75,80,83,55,66,85
SD1040993,77,75,76,62,60,84
SD1040994,78,74,86,60,67,85
SD1040995,80,76,83,60,72,85
SD1040996,76,76,89,77,56,85
SD1040997,67,71,89,60,61,85
SD1040998,93,77,92,87,60,85
SD1040999,74,76,89,72,60,85
SD1041000,76,83,89,72,69,85
SD1041001,73,78,88,60,60,85
SD1041002,86,81,89,65,60,85
SD1041003,77,77,89,64,77,85
SD1041004,91,90,92,62,62,85
SD1041005,93,84,92,86,72,85
SD1041006,75,74,86,60,72,85
SD1041007,79,72,89,77,61,85
SD1041008,92,80,92,71,61,85
SD1041009,87,76,89,60,69,85
SD1041010,76,78,92,61,62,84
SD1041011,73,80,82,80,73,81
SD1041012,80,75,83,60,66,85
SD1041013,86,78,92,76,75,84
SD1041014,85,63,76,60,60,82
SD1041015,79,68,92,89,77,77
SD1041016,91,70,92,97,78,78
SD1041017,96,68,92,64,70,70
SD1041018,79,70,92,74,37,60
SD1041019,82,78,92,84,48,60
SD1041020,93,85,92,77,74,74
SD1041021,90,80,92,85,60,60
SD1041022,83,90,92,95,50,60
SD1041023,75,86,92,65,28,60
SD1041024,89,82,92,93,73,73
SD1041025,88,88,92,91,92,92
SD1041026,72,64,92,86,67,67
SD1041027,78,62,92,80,24,60
SD1041028,84,70,86,69,67,67
SD1041029,82,70,86,82,64,64
SD1041030,85,70,92,77,60,60
SD1041031,66,64,92,71,37,60
SD1041032,84,70,92,88,49,60
SD1041033,78,70,92,81,30,60
SD1041034,84,62,92,60,47,60
SD1041035,74,70,92,60,27,60
SD1041036,75,74,92,71,60,60
SD1041037,83,92,92,79,49,60
SD1041038,85,70,92,50,38,60
SD1041039,81,70,86,50,24,60
SD1041040,75,84,92,81,34,60
SD1041041,82,64,86,77,50,60
SD1041042,82,82,80,84,69,69
SD1041043,83,84,92,89,61,61
SD1041044,76,62,92,84,75,75
SD1041045,80,62,92,63,30,60
SD1041046,88,70,92,83,61,61
SD1041047,77,70,92,60,44,60
SD1041048,77,65,86,63,30,60
SD1041049,93,70,92,90,47,60
SD1041050,75,96,92,79,45,60
SD1041051,75,94,86,83,35,60
SD1041052,74,84,92,71,49,60
SD1041053,70,62,86,40,15,15
SD1041054,66,82,92,74,74,74
SD1041055,76,70,86,67,22,60
SD1041056,74,65,86,55,25,60
SD1041058,94,64,92,70,36,60
SD1041059,84,79,86,97,70,70
SD1041060,84,70,92,86,75,75
SD1041061,77,70,86,76,47,60
SD1041062,85,72,92,82,46,60
SD1041063,88,72,92,87,86,86
SD1041064,98,89,80,91,50,60
SD1041065,81,78,92,89,49,60
SD1041066,63,78,89,68,50,60
SD1041069,30,62,86,40,64,64
SD1041070,81,86,86,89,53,60
SD1041071,90,70,92,77,60,60
SD1041072,90,89,92,99,38,60
SD1041073,91,70,92,95,60,60
SD1041074,93,80,92,90,60,60
