acyr,semr,sid,loam
97,1,SD970224 ,48165
97,1,SD970225 ,60065
97,1,SD970232 ,45165
97,1,SD970233 ,45165
97,1,SD970236 ,45165
97,1,SD970240 ,31957
97,1,SD970242 ,45165
97,1,SD970243 ,48165
97,1,SD970244 ,45165
97,1,SD970245 ,61065
97,1,SD970249 ,21365
97,1,SD970250 ,44027
97,1,SD970251 ,45165
97,1,SD970252 ,45165
97,1,SD970253 ,45165
97,1,SD970254 ,45165
97,1,SD970255 ,45165
97,1,SD970256 ,45165
97,1,SD970257 ,45165
97,1,SD970258 ,45165
97,1,SD970259 ,60065
97,1,SD970262 ,45165
97,1,SD970264 ,45165
97,1,SD970269 ,45165
97,1,SD970270 ,45165
97,1,SD970275 ,45165
97,1,SD970276 ,53165
97,1,SD970285 ,45165
97,1,SD970286 ,45165
97,1,SD970287 ,45165
97,1,SD970291 ,48165
97,1,SD970294 ,45165
97,1,SD970296 ,27554
97,1,SD970297 ,45165
97,1,SD970300 ,60065
97,1,SD970301 ,44290
97,1,SD970304 ,45165
97,1,SD970305 ,45165
97,1,SD970308 ,44027
97,1,SD970313 ,45165
97,1,SD970314 ,48165
97,1,SD970315 ,45165
97,1,SD970322 ,48165
97,1,SD970323 ,45165
97,1,SD970329 ,58065
97,1,SD970339 ,48165
97,1,SD970346 ,45165
97,1,SD970347 ,45165
97,1,SD970349 ,56165
97,1,SD970354 ,56190
97,1,SD970357 ,30819
97,1,SD970364 ,45165
97,1,SD970369 ,45165
97,1,SD970372 ,60065
97,1,SD970374 ,45165
97,1,SD970375 ,45165
97,1,SD970376 ,45165
97,1,SD970378 ,45165
97,1,SD970381 ,45165
97,1,SD970382 ,56165
97,1,SD970389 ,27554
97,1,SD970391 ,45165
97,1,SD970392 ,48165
97,1,SD970397 ,48165
97,1,SD970398 ,45165
97,1,SD970401 ,45165
97,1,SD970403 ,45165
97,1,SD970405 ,44290
97,1,SD970411 ,35760
97,1,SD970413 ,17346
97,1,SD970415 ,45165
97,1,SD970417 ,48165
97,1,SD970418 ,45165
97,1,SD970420 ,45165
97,1,SD970421 ,45165
