sid,bswa,sta,ec,care
SD1040845,91,91,91,94
SD1040846,90,72,87,89
SD1040847,87,91,83,94
SD1040848,88,79,77,94
SD1040849,81,45,70,82
SD1040850,76,70,77,89
SD1040851,72,55,76,76
SD1040852,89,83,82,94
SD1040853,83,65,84,84
SD1040854,83,81,85,94
SD1040855,81,75,82,94
SD1040856,87,66,76,89
SD1040857,92,85,85,94
SD1040858,84,72,72,89
SD1040859,84,71,79,89
SD1040860,87,55,77,94
SD1040861,89,53,73,94
SD1040862,91,81,78,94
SD1040863,81,55,80,94
SD1040864,84,55,65,78
SD1040865,80,52,80,94
SD1040866,76,43,76,89
SD1040867,85,70,80,94
SD1040868,83,71,80,87
SD1040869,90,81,83,94
SD1040870,76,55,70,89
SD1040871,81,46,72,89
SD1040872,77,48,73,75
SD1040873,82,65,85,82
SD1040874,83,79,82,94
SD1040875,85,65,79,89
SD1040876,85,66,78,94
SD1040877,82,53,68,94
SD1040878,80,62,75,94
SD1040879,86,72,65,89
SD1040880,82,73,76,94
SD1040881,92,97,96,94
SD1040882,87,84,83,94
SD1040883,60,41,65,80
SD1040885,82,65,65,62
SD1040886,75,49,82,94
SD1040887,89,62,83,89
SD1040888,85,55,67,84
SD1040889,74,45,81,82
SD1040890,85,81,84,87
SD1040891,85,67,77,94
SD1040892,76,63,78,87
SD1040893,86,78,86,94
SD1040895,76,46,73,94
SD1040896,87,82,77,94
SD1040897,76,49,70,83
SD1040898,79,65,80,67
SD1040899,82,NA,91,94
SD1040900,87,88,95,94
SD1040904,89,69,84,84
SD1040905,93,99,100,100
SD1040906,91,75,78,88
SD1040907,87,66,81,81
SD1040908,90,72,87,85
SD1040909,90,60,66,74
SD1040910,83,86,91,98
SD1040911,90,71,82,81
SD1040912,84,68,91,93
SD1040913,88,79,88,97
SD1040914,88,63,78,85
SD1040915,91,64,88,83
SD1040916,88,77,91,100
SD1040917,81,54,97,84
SD1040918,83,71,84,76
SD1040919,87,71,60,86
SD1040920,74,43,69,69
SD1040921,84,55,89,67
SD1040923,89,62,80,92
SD1040924,88,37,62,88
SD1040925,91,65,71,87
SD1040926,80,47,69,66
SD1040927,79,47,94,75
SD1040928,84,62,87,73
SD1040929,93,94,97,100
SD1040930,91,68,91,100
SD1040931,90,73,93,84
SD1040932,91,73,100,94
SD1040933,93,86,77,60
SD1040934,79,71,76,84
SD1040935,88,52,72,79
SD1040936,89,76,91,97
SD1040937,87,73,85,77
SD1040938,81,16,51,69
SD1040939,90,77,86,94
SD1040940,83,49,76,64
SD1040941,83,80,70,83
SD1040942,76,48,74,64
SD1040943,88,52,76,87
SD1040945,84,55,71,60
SD1040946,85,55,100,84
SD1040947,91,64,99,95
SD1040948,82,48,84,74
SD1040949,90,80,89,92
SD1040951,88,74,83,92
SD1040952,83,21,33,69
SD1040953,76,39,78,77
SD1040954,82,86,84,73
