sid,itdc,mana,eci,buetc,eitba,eitbb,ebcmm,eca,ecb,ecmi,ecma,cala,calb,sta,stb,apeci,mm,gmktm,itbsm,claw,prittd,mbinf,itmtr,aca,acb,fm,itmfi
SD970219 ,95,94,85,87,85,85,86,64,60,74,95,98,99,87,90,91,93,92,84,81,81,91,87,60,65,73,94
SD970220 ,91,83,83,84,77,78,88,70,50,77,99,93,88,89,77,83,82,60,78,82,76,74,82,60,70,65,95
SD970221 ,91,81,86,86,93,94,88,69,69,73,75,86,92,89,80,80,80,87,90,71,91,81,94,61,60,69,95
SD970222 ,95,87,84,85,78,85,80,71,60,83,75,99,96,83,73,88,92,88,86,78,85,79,81,60,65,77,95
SD970223 ,95,97,85,87,86,76,85,70,60,88,76,92,93,86,92,88,93,93,90,81,86,76,96,74,70,87,96
SD970224 ,89,79,NA,NA,NA,NA,NA,67,60,NA,NA,91,99,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,60,65,NA,NA
SD970225 ,95,77,50,84,65,60,60,54,60,60,60,91,98,49,60,72,91,91,61,77,60,76,69,43,32,60,92
SD970226 ,93,60,72,84,61,75,78,70,68,55,60,87,81,65,73,82,87,88,80,84,73,74,87,70,65,60,93
SD970227 ,93,89,80,84,85,81,87,78,62,64,73,80,73,66,69,90,80,70,85,86,86,82,89,60,62,71,93
SD970228 ,94,79,87,NA,89,84,88,89,64,79,90,91,84,82,72,87,83,67,83,82,75,78,89,79,62,68,94
SD970229 ,96,89,77,84,71,74,76,83,66,82,70,90,93,83,61,79,91,85,65,69,80,74,84,77,90,71,97
SD970230 ,86,85,83,NA,76,77,79,69,77,74,80,86,85,71,89,88,92,88,85,73,86,82,92,60,62,76,95
SD970231 ,94,88,83,87,69,76,83,76,60,72,95,92,86,79,83,83,91,70,75,81,70,73,89,60,67,65,93
SD970232 ,92,83,78,86,67,74,82,80,92,85,95,90,97,84,87,90,93,92,88,75,80,90,93,69,70,72,95
SD970233 ,92,63,60,82,63,62,68,64,43,55,60,81,86,60,60,60,89,89,75,85,71,82,83,64,39,60,89
SD970234 ,94,76,77,NA,78,78,84,71,60,78,69,93,92,76,74,84,92,91,84,78,78,76,94,60,60,69,95
SD970235 ,94,74,79,87,75,85,81,83,74,66,94,94,92,91,93,81,91,92,82,85,90,92,90,81,80,74,93
SD970236 ,95,91,72,NA,64,70,82,63,60,67,70,91,85,74,81,84,88,88,73,73,78,78,91,66,45,61,93
SD970237 ,95,81,82,NA,74,78,76,79,69,74,94,93,90,84,98,88,93,91,91,80,83,78,99,65,60,72,96
SD970238 ,96,89,86,NA,78,82,83,72,66,74,60,91,92,91,95,87,91,92,85,80,87,77,94,61,65,83,98
SD970239 ,95,95,83,NA,93,92,92,62,62,87,71,94,94,88,100,79,92,92,85,74,92,83,95,83,94,91,97
SD970240 ,89,75,78,84,65,83,84,74,62,61,63,93,85,77,71,68,82,84,63,82,64,83,89,60,60,38,93
SD970241 ,92,85,86,86,69,71,77,69,65,79,60,87,99,79,84,88,91,92,83,88,77,85,86,67,88,70,96
SD970242 ,94,74,81,84,65,68,85,84,49,77,60,90,85,81,79,78,84,91,77,80,80,90,86,84,75,66,96
SD970243 ,94,75,65,NA,73,67,82,62,60,62,75,87,90,70,76,80,90,92,75,82,69,78,81,60,65,72,99
SD970244 ,90,91,78,84,79,78,75,69,74,91,88,99,98,92,79,86,90,92,83,84,78,87,85,72,89,85,97
SD970245 ,96,88,82,NA,NA,NA,NA,87,69,70,82,92,90,89,68,81,89,NA,NA,72,NA,NA,NA,83,62,61,NA
SD970246 ,76,66,70,NA,62,60,64,72,50,75,60,89,80,69,63,78,86,83,61,85,60,69,76,63,60,60,95
SD970247 ,94,85,82,69,85,89,88,81,62,73,75,91,87,79,93,82,89,86,92,78,85,82,90,69,60,73,95
SD970248 ,93,19,54,NA,NA,NA,NA,77,43,48,NA,89,45,9,NA,NA,80,NA,NA,70,NA,NA,NA,60,33,NA,NA
SD970249 ,68,63,60,82,62,60,64,74,60,67,60,88,77,43,61,80,82,84,60,77,60,70,75,60,60,47,86
