sid,mm,fm,ac,eebm,bswa,mwsm,mana,pom,hrm,esm,mads,adpjm,erem,sta,stb,ines,care,cala,calb,ec
SD1000510,81,28,60,79,65,38,55,63,61,70,80,83,64,34,39,70,80,60,60,68
SD1000511,84,48,64,99,67,64,70,86,61,83,92,87,65,80,80,63,60,83,79,70
SD1000512,88,89,99,99,91,96,66,92,94,84,86,98,75,94,94,93,100,99,99,89
SD1000513,89,49,63,83,91,84,66,65,71,88,85,91,75,75,70,80,82,61,42,73
SD1000514,84,65,95,99,94,91,70,90,86,75,96,92,73,90,96,91,94,86,99,80
SD1000515,86,75,87,94,75,70,64,88,89,75,95,79,64,78,95,69,66,74,94,75
SD1000516,80,38,63,75,86,75,62,62,61,75,80,74,63,70,61,70,73,62,63,79
SD1000517,91,89,88,99,87,90,68,91,97,93,85,99,73,94,98,92,90,94,98,86
SD1000518,81,28,63,70,71,60,54,61,48,75,90,81,60,44,38,60,70,60,60,70
SD1000519,89,89,98,99,82,85,57,94,97,88,88,99,81,92,93,93,100,89,97,92
SD1000520,88,92,97,99,92,97,60,93,98,85,90,99,80,98,97,93,96,96,100,92
SD1000521,87,67,92,99,74,76,71,60,80,81,90,98,72,61,78,81,89,68,72,78
SD1000522,90,77,76,99,81,97,65,91,89,80,85,94,70,78,87,86,82,79,97,79
SD1000523,86,60,90,99,85,82,63,91,83,75,92,93,67,82,66,84,92,65,65,72
SD1000524,84,48,77,99,71,77,64,76,61,72,96,82,66,50,63,70,94,63,79,66
SD1000525,86,60,90,99,84,73,63,85,83,81,92,92,69,70,63,84,90,60,66,80
SD1000526,80,44,65,93,81,70,60,65,61,74,88,77,60,50,46,76,83,68,69,80
SD1000527,83,60,86,98,80,70,70,78,73,77,96,89,67,65,50,85,71,86,84,81
SD1000528,87,74,83,99,65,76,67,80,86,76,86,91,69,75,69,87,85,70,76,74
SD1000529,86,68,83,99,93,86,67,71,74,80,83,91,69,82,80,90,92,77,83,77
SD1000530,85,62,60,99,69,93,60,81,75,76,92,89,63,81,76,72,77,80,85,82
SD1000531,87,76,80,99,76,78,60,88,89,80,85,97,73,78,77,86,82,72,78,88
SD1000532,84,44,69,90,74,77,63,83,81,74,85,79,63,64,50,66,77,70,70,73
SD1000533,88,77,98,99,89,91,70,90,94,75,90,95,75,94,97,78,89,89,96,90
SD1000534,85,60,79,99,84,91,60,69,82,73,95,92,70,61,71,78,60,60,75,80
SD1000535,85,37,69,99,74,73,64,60,41,73,88,75,64,74,65,60,73,64,75,88
SD1000536,82,60,85,63,88,75,60,60,69,72,85,73,61,50,50,70,85,66,60,62
SD1000537,81,47,73,99,87,80,60,85,65,76,85,80,67,60,64,76,84,66,74,70
SD1000538,NA,NA,NA,NA,65,NA,42,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,60,NA,35
SD1000539,86,62,85,74,82,84,63,86,75,78,92,90,68,72,74,84,90,87,84,86
SD1000540,85,78,73,98,83,90,64,60,25,74,88,86,60,50,65,83,80,69,90,84
SD1000541,84,45,61,87,77,73,60,79,68,74,88,87,65,74,65,78,66,71,70,76
SD1000542,86,72,80,99,98,91,63,61,88,83,85,82,60,83,70,83,80,69,99,80
SD1000543,88,91,96,99,92,94,65,92,92,90,87,99,83,97,96,93,100,88,96,91
SD1000544,87,60,92,99,98,89,55,60,88,81,87,88,66,83,78,90,86,81,89,83
SD1000545,82,60,75,99,83,79,60,78,61,84,90,91,63,70,47,67,79,60,60,73
SD1000546,87,68,89,99,96,89,71,82,84,80,86,94,72,86,82,87,90,84,91,79
SD1000547,87,72,89,99,94,74,61,79,85,75,90,91,65,74,76,87,91,75,77,82
SD1000548,85,60,73,92,88,93,66,86,80,88,92,85,71,84,75,69,87,74,89,86
SD1000549,87,90,97,99,94,96,67,80,92,80,86,99,72,95,87,93,100,92,94,80
SD1000550,88,85,97,99,96,96,65,94,92,90,87,99,77,94,93,93,100,87,94,91
SD1000551,87,97,95,99,87,91,64,96,98,85,88,99,80,96,94,93,100,93,99,89
SD1000552,79,17,75,61,81,41,60,71,16,NA,90,73,56,75,61,60,NA,60,60,80
SD1000553,84,47,77,99,72,73,64,83,65,75,88,86,63,81,65,80,72,81,70,86
SD1000554,86,48,81,97,82,71,67,85,79,73,92,83,60,64,60,72,21,67,62,81
SD1000555,86,62,81,92,63,60,61,75,78,70,92,76,55,68,61,66,26,68,76,78
SD1000556,84,60,90,99,77,82,72,84,73,81,90,97,67,70,76,75,91,74,79,88
SD1000557,81,64,71,99,63,31,60,82,84,76,90,91,74,45,29,73,84,61,67,77
SD1000558,86,64,88,99,81,87,60,90,79,76,90,97,69,78,73,81,92,75,96,74
SD1000559,81,47,62,86,90,83,60,77,52,74,90,88,63,81,65,61,61,66,64,75
SD1000560,87,50,63,93,81,70,60,60,75,77,85,87,62,68,50,89,76,86,69,64
SD1000561,83,73,75,99,88,81,60,77,89,70,85,77,69,95,91,79,67,69,85,88
SD1000562,86,66,81,99,89,92,62,81,84,82,85,92,67,81,81,92,83,85,87,85
SD1000563,86,75,70,99,92,90,61,86,91,84,85,99,67,80,78,92,80,80,80,79
SD1000564,85,60,84,99,88,89,69,94,88,74,90,85,75,84,71,75,84,89,88,84
SD1000565,85,88,82,99,98,84,56,82,94,75,88,87,73,68,73,86,75,60,82,83
SD1000567,88,NA,NA,NA,NA,NA,NA,NA,88,60,NA,NA,64,NA,NA,80,NA,NA,NA,NA
SD1000568,84,NA,NA,NA,NA,NA,NA,NA,82,67,NA,NA,76,NA,NA,80,NA,NA,NA,NA
SD1000569,86,NA,NA,NA,NA,NA,NA,NA,85,62,NA,NA,68,NA,NA,80,NA,NA,NA,NA
SD1000570,63,NA,NA,NA,NA,NA,NA,NA,85,60,NA,NA,65,NA,NA,80,NA,NA,NA,NA
SD1000571,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,61,NA,NA,75,NA,NA,NA,NA
