sid,ines,care,cala,calb,ec,eitba,eitbb,ebcmm,eortr,eci,maec,apeci,sta,stb,mana,mm,itmt,itmtr,itbsm,prittda,prittdb,gmktm,erplab,aca,acb,fm,itmfi
SD1010721,96,79,94,98,85,91,91,89,90,96,84,89,76,98,92,89,94,76,100,95,88,90,90,60,77,100,100
SD1010722,80,76,77,93,81,85,85,79,84,95,79,92,68,95,87,93,82,85,92,86,77,85,77,62,67,71,79
SD1010723,NA,NA,76,90,87,NA,NA,NA,91,100,89,NA,NA,NA,99,100,96,NA,NA,NA,NA,NA,NA,64,60,NA,NA
SD1010724,90,84,60,62,72,82,82,88,88,76,70,81,82,86,83,94,87,80,97,85,74,84,80,60,60,83,67
SD1010725,74,81,70,92,57,82,86,74,82,80,68,72,80,85,86,63,84,78,76,81,71,64,78,60,60,81,78
SD1010726,79,67,70,79,73,73,80,75,77,79,67,81,19,76,85,83,76,80,87,75,65,76,76,71,60,61,50
SD1010727,86,70,91,81,85,75,79,72,73,71,60,88,46,96,87,73,79,82,84,84,72,80,81,65,70,87,84
SD1010728,64,69,75,89,80,55,79,65,73,78,75,70,75,84,86,63,86,80,73,69,48,72,82,70,60,61,50
SD1010729,96,87,84,85,85,84,83,81,78,98,89,100,81,96,91,93,91,88,97,86,91,95,94,72,60,100,95
SD1010730,91,85,84,64,90,91,88,89,87,87,77,91,76,95,89,81,92,82,98,95,90,85,87,75,65,100,93
SD1010731,74,79,88,94,74,80,81,75,77,84,66,80,86,71,87,73,82,76,84,88,67,77,82,70,66,84,77
SD1010732,96,85,73,89,92,90,90,92,90,89,76,93,81,96,88,80,92,88,98,98,94,92,86,67,83,100,94
SD1010733,60,79,68,90,67,70,80,74,73,67,55,73,72,73,86,73,82,70,78,78,62,76,72,37,35,35,81
SD1010734,79,73,72,91,73,86,82,82,78,78,60,77,60,90,88,60,82,80,92,75,61,76,80,63,61,92,76
SD1010735,60,85,73,85,72,55,82,72,76,75,62,74,71,82,88,68,83,78,85,82,60,87,81,60,60,60,50
SD1010736,95,79,60,92,71,72,84,84,75,69,61,85,61,93,88,73,90,80,96,82,83,81,88,60,60,76,76
SD1010737,60,73,79,84,78,55,80,74,78,39,51,67,0,60,85,61,43,75,60,50,65,73,77,60,60,8,60
SD1010738,60,64,80,84,73,70,80,71,75,88,60,86,79,89,87,83,81,83,82,75,64,74,79,60,64,63,77
SD1010739,79,78,92,93,72,55,79,68,77,86,65,83,41,90,87,88,83,84,79,86,63,83,75,68,65,41,77
SD1010740,NA,NA,61,66,54,NA,NA,NA,82,75,60,NA,19,NA,85,60,83,NA,NA,NA,NA,NA,NA,41,60,NA,NA
SD1010741,94,79,66,65,61,70,79,70,75,88,83,91,81,95,90,82,93,84,97,75,67,79,84,60,60,83,83
SD1010742,96,82,70,78,86,91,93,88,83,94,85,93,75,94,85,94,91,88,96,99,99,91,94,78,81,98,100
SD1010743,90,79,81,87,80,70,83,77,80,75,65,83,49,90,88,70,84,80,82,72,66,81,73,49,63,60,80
SD1010744,NA,NA,74,79,54,NA,NA,NA,82,23,50,1,0,0,65,64,44,NA,NA,NA,NA,NA,NA,44,35,1,NA
SD1010745,84,81,74,82,69,80,87,87,85,83,70,89,85,92,80,70,85,80,92,72,75,84,87,72,62,86,82
SD1010746,60,70,60,69,60,55,77,68,78,74,60,84,48,85,87,77,73,80,76,77,75,85,76,70,60,62,50
SD1010747,89,87,67,83,68,87,89,85,82,81,78,83,87,91,82,73,85,78,95,85,75,79,83,60,76,91,83
SD1010748,74,76,84,99,82,73,79,72,75,73,68,80,81,75,85,72,82,80,76,80,70,77,81,67,63,63,74
SD1010749,84,82,87,85,79,87,90,82,80,82,75,77,78,81,90,70,86,78,96,78,71,77,84,60,60,63,73
SD1010750,60,73,62,76,58,55,73,69,62,73,74,68,50,70,84,70,84,70,60,67,62,69,70,60,38,23,60
SD1010751,60,81,61,84,55,55,77,75,65,71,65,71,50,71,87,79,85,75,84,81,66,78,70,39,43,31,80
SD1010752,NA,NA,60,48,65,NA,NA,NA,NA,NA,50,NA,NA,NA,86,42,NA,NA,NA,NA,NA,NA,NA,60,20,NA,NA
SD1010753,91,79,83,88,64,75,86,85,85,95,80,95,69,91,90,95,93,80,92,93,82,89,87,81,98,97,82
SD1010754,86,78,86,95,83,55,76,72,80,86,72,87,42,94,87,60,87,80,89,82,80,81,80,67,71,80,80
SD1010755,NA,NA,68,82,77,NA,NA,NA,NA,60,65,1,65,0,84,75,85,NA,NA,NA,NA,NA,NA,74,62,1,NA
SD1010756,41,NA,66,92,56,1,NA,NA,67,76,69,76,45,80,86,60,73,76,60,48,NA,NA,NA,66,60,61,NA
SD1010757,85,81,85,83,76,55,75,60,60,63,76,76,38,82,92,90,87,74,97,70,60,78,68,60,64,40,81
SD1010758,90,79,81,83,61,55,77,68,74,60,60,82,44,84,88,66,88,80,75,80,69,76,71,60,60,63,60
SD1010759,96,79,60,60,69,76,79,76,79,76,73,83,66,85,89,80,92,82,96,87,84,89,87,60,64,81,74
SD1010760,88,85,60,65,73,70,76,65,72,78,60,80,21,82,87,43,85,74,92,88,65,72,76,60,65,68,72
SD1010761,62,79,69,98,63,69,83,71,77,65,70,77,44,89,87,60,74,80,75,85,64,77,74,50,50,72,83
