sid,pjm,ines,st,cala,calb,ec,ac,mana,sadm,mis,pom,itdc,cppg,dtst,opsy,oopg,pcpg,adcpg,nwkpm,itdcn,inkpg,idbs,dbms
SD980584 ,84,77,63,85,95,65,75,82,85,82,66,60,81,60,72,73,60,47,88,71,75,67,84
SD980585 ,NA,NA,NA,81,78,63,68,NA,NA,NA,NA,70,55,NA,NA,NA,60,62,NA,80,NA,NA,NA
SD980586 ,80,78,63,53,60,71,90,75,80,87,93,62,75,60,71,74,60,44,82,80,80,60,65
SD980587 ,60,71,68,70,60,61,72,81,80,78,60,68,83,63,71,85,60,47,78,65,75,63,69
SD980588 ,91,63,68,50,41,25,60,83,80,84,91,60,39,1,60,61,60,2,61,60,50,40,40
SD980589 ,76,76,64,84,90,81,99,67,85,80,69,78,92,92,68,70,92,85,84,75,62,60,96
SD980591 ,96,84,65,42,60,65,80,74,88,95,93,60,65,60,73,78,65,47,61,82,81,67,80
SD980592 ,73,70,63,68,83,67,69,64,85,83,90,76,83,64,60,74,60,44,81,70,62,63,73
SD980593 ,85,62,60,65,65,78,81,69,85,86,96,78,68,70,64,67,60,42,61,68,76,69,67
SD980594 ,NA,NA,NA,74,60,43,85,NA,NA,NA,NA,60,76,NA,NA,NA,76,68,NA,50,NA,NA,NA
SD980595 ,87,61,60,77,78,71,70,72,85,79,67,74,83,66,65,60,83,71,70,73,86,71,83
SD980596 ,76,75,60,70,44,63,76,67,80,74,63,76,70,63,60,65,70,60,67,64,67,63,72
SD980597 ,85,73,67,75,77,76,81,79,88,77,84,73,86,75,63,80,86,66,76,69,85,60,79
SD980598 ,64,80,60,45,15,1,80,62,85,77,81,60,72,60,61,87,72,2,60,91,85,60,84
SD980599 ,96,73,70,78,65,73,75,70,85,85,84,60,99,60,67,79,60,45,89,74,96,68,83
SD980600 ,94,82,70,79,71,79,82,73,85,87,90,64,68,60,69,72,68,43,94,69,83,66,83
SD980601 ,81,82,60,51,61,74,85,82,88,91,83,62,72,61,60,78,60,46,82,79,86,60,53
SD980602 ,94,60,60,72,60,79,84,76,91,84,77,64,79,76,70,86,79,67,60,66,71,60,92
SD980603 ,68,61,60,67,60,63,86,64,78,83,83,68,75,61,62,69,75,62,73,67,56,65,67
SD980604 ,91,83,67,66,69,64,71,63,75,79,96,62,60,61,67,77,60,47,87,78,77,63,80
SD980605 ,87,83,100,67,68,86,94,77,88,92,90,67,63,71,80,74,63,67,94,90,75,72,89
SD980606 ,78,70,60,68,64,64,81,61,85,77,74,71,62,60,60,72,62,49,68,65,73,60,77
SD980607 ,95,80,76,80,93,71,81,75,85,92,79,70,73,86,75,89,73,82,78,65,99,67,91
SD980608 ,89,80,87,89,66,81,85,81,88,90,90,71,77,67,70,78,60,46,65,70,86,70,74
SD980609 ,87,80,60,85,84,74,98,77,80,84,82,74,65,66,65,61,65,63,80,78,83,68,73
SD980610 ,91,72,65,67,69,68,83,70,80,89,71,71,61,60,64,63,61,48,76,74,78,60,68
SD980611 ,71,75,61,53,44,52,83,72,80,74,73,60,61,73,60,60,61,44,61,60,68,60,73
SD980612 ,81,65,62,84,64,64,81,81,80,90,84,62,64,61,71,66,64,50,84,72,81,65,62
SD980613 ,93,61,60,41,NA,64,60,75,91,85,69,67,63,61,71,86,63,63,60,64,69,60,83
SD980614 ,93,81,70,70,NA,74,85,82,91,84,93,72,79,85,70,74,79,78,70,74,83,76,87
SD980615 ,NA,NA,NA,32,4,19,41,NA,NA,NA,NA,39,31,NA,NA,NA,60,1,NA,30,NA,NA,NA
SD980616 ,95,90,79,95,69,77,91,87,85,85,74,66,68,80,83,79,68,75,79,83,80,75,94
SD980617 ,91,78,60,47,NA,68,75,81,91,75,83,61,60,66,72,69,60,60,72,78,77,67,70
SD980618 ,92,73,65,67,77,78,69,78,85,90,76,72,87,60,67,60,60,62,73,74,78,65,69
SD980619 ,85,76,86,67,64,77,77,77,85,90,79,69,60,68,74,69,60,48,60,69,86,73,79
SD980620 ,95,73,66,71,52,76,72,72,85,74,87,65,70,67,71,73,70,42,90,70,80,63,78
SD980621 ,88,72,86,75,80,74,90,77,85,89,75,68,78,89,76,73,78,82,86,77,92,68,99
SD980622 ,89,80,60,70,42,77,86,78,80,72,92,60,85,64,72,67,60,60,61,76,79,60,69
SD980623 ,96,74,60,53,60,80,76,82,85,79,90,60,61,63,71,67,61,43,61,74,76,63,71
SD980625 ,62,72,60,83,60,66,90,66,80,87,65,68,78,65,60,75,78,61,72,70,78,60,76
SD980626 ,87,71,67,72,71,69,78,77,85,85,77,60,81,67,72,60,60,50,73,71,80,69,77
SD980627 ,98,84,98,84,100,80,99,76,88,90,93,70,60,77,73,87,60,65,90,91,96,71,96
SD980628 ,89,70,86,81,60,82,88,73,85,92,91,61,84,70,73,60,60,46,61,77,78,65,85
SD980629 ,90,60,62,50,60,62,62,62,80,63,61,76,61,66,60,62,61,NA,70,79,54,60,44
SD980630 ,97,87,84,78,77,88,99,81,85,94,99,78,62,83,85,83,62,72,93,89,95,79,96
SD980631 ,NA,44,37,46,60,61,60,42,80,61,65,48,32,NA,23,33,60,NA,40,76,55,40,30
SD980632 ,NA,NA,NA,32,31,63,68,NA,NA,NA,NA,49,32,NA,NA,NA,60,50,NA,62,NA,NA,NA
SD980633 ,91,78,82,74,60,64,65,69,80,79,90,60,86,90,79,99,86,86,58,62,96,66,96
SD980634 ,86,63,60,73,62,71,86,75,85,87,83,62,62,62,62,63,62,44,65,70,77,69,82
SD980635 ,NA,NA,NA,33,39,62,79,NA,NA,NA,NA,35,22,NA,NA,NA,60,41,NA,40,NA,NA,NA
SD980636 ,92,61,70,75,60,62,63,60,80,77,67,60,61,73,68,60,61,50,70,61,56,60,70
SD980637 ,88,86,61,NA,NA,NA,NA,NA,85,82,85,NA,90,65,73,NA,90,NA,79,80,77,63,83
SD980638 ,92,68,65,NA,NA,NA,NA,60,85,77,81,83,NA,68,64,67,78,NA,70,75,70,60,75
SD980639 ,NA,NA,NA,NA,NA,NA,NA,76,80,NA,87,NA,60,NA,NA,74,60,NA,7,NA,NA,60,NA
SD980640 ,70,84,60,NA,NA,NA,NA,76,85,70,94,NA,NA,60,63,74,NA,NA,80,85,77,85,60
SD980641 ,65,60,NA,NA,NA,NA,NA,72,65,NA,50,NA,NA,NA,NA,NA,64,NA,35,NA,60,60,75
SD980642 ,84,68,NA,NA,NA,NA,NA,NA,88,80,66,NA,NA,NA,62,63,88,NA,70,74,56,63,NA
SD980643 ,NA,23,NA,NA,NA,NA,NA,45,70,50,60,NA,NA,NA,35,48,NA,NA,NA,NA,NA,45,40
SD980644 ,42,77,1,60,50,60,67,66,80,84,60,67,67,72,73,65,70,50,60,38,79,64,61
SD980645 ,78,75,64,66,45,60,71,60,80,80,63,63,60,67,75,73,68,52,64,61,78,56,54
SD980646 ,94,92,98,97,98,80,71,82,80,92,96,83,85,92,80,81,85,75,98,95,96,74,98
SD980647 ,73,84,60,71,76,67,66,69,88,77,86,68,85,72,61,67,63,62,60,64,52,60,69
SD980648 ,82,87,72,54,78,75,67,70,85,84,84,60,74,81,73,77,77,69,72,83,75,65,73
SD980649 ,85,90,78,54,75,76,85,77,83,77,79,77,80,75,73,71,78,60,88,92,88,74,83
SD980650 ,95,92,96,93,94,91,83,87,90,95,95,95,91,89,87,84,63,93,92,96,93,79,83
SD980651 ,90,84,60,85,80,65,68,74,83,92,74,77,68,68,66,70,60,73,60,71,92,65,82
SD980653 ,73,70,67,73,65,61,71,67,80,76,64,62,60,63,77,73,77,65,60,62,75,68,63
