sid,pjm,ines,cala,calb,sta,ec,ac,mana,sadm,mis,pom,itdc,cppg,dtst,oopg,pcpg,adcpg,nwkpm,itdcn,inkpg,xmwd,idbs,dbms
SD990595 ,94,91,60,68,71,73,62,89,87,77,73,73,30,30,60,60,35,79,67,71,70,60,76
SD990596 ,89,74,60,NA,60,60,73,84,89,74,67,77,81,23,17,60,44,63,69,71,60,48,64
SD990597 ,85,87,61,60,70,42,65,85,88,85,76,64,36,27,60,60,40,78,72,75,71,60,92
SD990598 ,90,89,25,30,74,46,75,86,90,80,82,81,61,60,64,60,60,81,79,92,83,66,97
SD990599 ,79,79,69,60,65,78,61,84,90,71,74,61,35,36,39,60,31,66,67,80,69,60,76
SD990600 ,66,69,50,65,60,56,64,86,90,69,72,81,78,37,60,60,60,77,69,85,71,64,62
SD990601 ,85,87,63,88,66,43,67,85,88,80,89,76,61,64,60,60,61,82,76,65,75,65,83
SD990602 ,93,91,99,98,100,87,90,86,90,98,95,95,93,93,96,93,83,95,91,96,93,88,100
SD990603 ,89,92,85,68,77,89,76,86,90,94,90,85,72,67,66,72,62,89,85,89,86,64,95
SD990604 ,89,90,87,92,78,87,84,90,90,88,86,76,70,60,61,70,60,87,86,86,76,71,86
SD990605 ,85,86,83,76,60,82,65,86,88,68,70,77,61,60,41,60,60,75,79,86,60,60,62
SD990606 ,91,89,71,68,76,86,71,84,90,88,91,75,60,60,60,60,60,83,78,94,89,64,98
SD990607 ,92,86,93,95,88,78,90,86,92,91,88,81,67,60,61,67,62,90,82,95,89,72,98
SD990608 ,89,91,75,76,74,80,82,86,92,93,85,72,70,60,60,70,60,87,77,80,73,63,95
SD990609 ,88,88,85,64,76,70,79,84,91,86,82,74,60,60,60,60,39,86,78,80,77,44,92
SD990610 ,83,90,60,38,67,85,66,86,90,73,76,95,60,65,60,60,36,75,70,64,69,49,87
SD990611 ,86,88,74,74,61,61,71,82,90,74,80,73,69,38,61,69,60,73,75,68,82,63,72
SD990612 ,84,88,14,7,60,50,66,80,90,71,66,76,60,30,60,60,44,64,73,61,60,47,87
SD990613 ,90,86,70,67,64,64,71,84,89,72,74,72,80,45,60,60,41,69,62,66,65,60,85
SD990614 ,70,86,74,60,71,65,75,82,92,75,76,83,77,60,60,60,30,77,79,75,67,60,82
SD990615 ,88,81,78,50,49,78,80,72,75,40,49,64,80,45,22,80,60,25,68,20,19,60,30
SD990616 ,89,87,70,50,61,88,75,86,89,82,80,84,85,71,66,85,61,78,66,70,67,42,76
SD990618 ,88,85,79,65,60,44,61,85,90,68,75,77,64,25,32,64,39,76,64,80,63,61,79
SD990619 ,83,87,72,69,66,64,64,86,90,77,79,89,61,21,32,60,22,75,74,73,74,63,78
SD990620 ,85,88,77,60,60,60,70,88,88,73,71,93,60,60,60,60,42,82,74,86,75,60,79
SD990621 ,NA,NA,12,16,NA,65,64,71,NA,NA,NA,48,40,0,NA,60,NA,38,60,NA,NA,NA,NA
SD990622 ,89,87,79,80,70,82,75,83,89,81,84,55,64,67,60,64,43,77,72,71,70,65,77
SD990623 ,89,86,77,77,62,89,71,87,90,68,78,79,64,60,40,64,60,70,73,72,75,60,90
SD990624 ,83,82,25,3,60,80,68,84,90,60,52,61,75,68,60,75,43,60,60,53,52,60,62
SD990625 ,92,90,89,74,87,85,85,87,90,93,92,80,82,77,63,82,60,93,77,94,90,78,100
SD990626 ,1,73,47,30,42,71,73,86,80,60,62,79,63,25,60,63,26,82,19,0,54,33,30
SD990627 ,85,86,52,69,60,81,74,84,88,71,65,74,74,39,60,60,44,71,66,66,66,60,61
SD990628 ,90,89,91,90,87,97,72,85,90,90,93,93,84,91,85,84,78,91,75,98,95,73,100
SD990629 ,83,75,82,75,62,85,68,82,92,72,78,89,78,42,33,60,39,70,61,85,65,60,54
SD990630 ,93,90,86,70,70,66,63,86,92,61,61,92,65,60,60,65,39,70,67,94,85,60,77
SD990631 ,NA,25,8,3,43,43,74,76,70,43,46,51,90,27,NA,90,20,38,61,0,19,60,20
SD990632 ,65,70,82,47,60,45,64,77,90,40,62,24,75,62,60,75,60,13,60,55,60,36,30
SD990633 ,86,90,80,60,60,69,79,77,90,60,67,75,99,99,93,99,93,80,82,78,85,48,71
SD990634 ,NA,NA,91,89,NA,77,75,NA,NA,NA,NA,77,55,NA,NA,60,43,NA,73,NA,NA,NA,NA
SD990635 ,70,92,77,76,66,66,72,83,90,68,78,74,63,32,60,60,60,77,66,75,75,64,75
SD990636 ,82,87,55,45,45,48,73,78,90,77,65,71,68,45,60,68,46,60,60,73,78,60,69
SD990637 ,89,87,30,0,75,65,78,85,88,74,76,75,65,64,60,60,35,82,71,86,80,47,72
