acyr,semr,sid,loam
102,1,SD1020647,44331
102,1,SD1020662,44331
102,1,SD1020663,44331
102,1,SD1020666,44331
102,1,SD1020670,44331
102,1,SD1020671,44331
102,1,SD1020674,44331
102,1,SD1020675,54331
102,1,SD1020676,59231
102,1,SD1020682,44331
102,1,SD1020683,47331
102,1,SD1020685,44331
102,1,SD1020686,44331
102,1,SD1020690,44331
102,1,SD1020691,44331
102,1,SD1020697,59231
102,1,SD1020707,44331
102,1,SD1020708,36082
102,1,SD1020709,23927
102,1,SD1020716,44331
102,1,SD1020722,44331
102,1,SD1020723,44331
102,1,SD1020725,47331
102,1,SD1020728,44331
102,1,SD1020731,0
102,1,SD1020735,44331
102,1,SD1020736,59231
102,1,SD1020739,47331
102,1,SD1020740,47331
102,1,SD1020744,44331
102,1,SD1020746,44331
102,1,SD1020751,44331
102,1,SD1020752,44331
102,1,SD1020753,44331
102,1,SD1020754,44331
102,1,SD1020769,44331
102,1,SD1020774,44331
102,1,SD1020775,44331
102,1,SD1020777,44331
102,1,SD1020778,44331
102,1,SD1020780,44331
102,1,SD1020786,44331
102,1,SD1020799,64331
102,1,SD1020800,44331
102,1,SD1020801,44331
102,1,SD1020805,47331
102,1,SD1020810,44331
102,1,SD1020811,44331
102,1,SD1020816,44331
102,1,SD1020818,44331
102,1,SD1020843,47331
102,1,SD1020845,44331
102,1,SD1020849,44331
102,1,SD1020852,44331
102,1,SD1020855,44331
102,1,SD1020859,44331
102,1,SD1020862,44331
102,1,SD1020866,59231
102,1,SD1020867,44331
102,1,SD1020868,47331
102,1,SD1020871,44331
102,1,SD1020872,44331
102,1,SD1020880,44331
102,1,SD1020882,44331
102,1,SD1020883,44331
102,1,SD1020885,47331
102,1,SD1020886,44331
102,1,SD1020888,44331
102,1,SD1020889,44331
102,1,SD1020912,45206
102,1,SD1020914,45206
102,1,SD1020915,56206
102,1,SD1020916,45206
102,1,SD1020919,45206
102,1,SD1020922,45206
102,1,SD1020928,45206
102,1,SD1020939,45206
102,1,SD1020943,45206
102,1,SD1020944,45206
102,1,SD1020950,45206
102,1,SD1020953,45206
102,1,SD1020955,45206
102,1,SD1020958,45206
102,1,SD1020960,45206
102,1,SD1020961,45206
102,1,SD1020963,57106
102,1,SD1020974,45206
102,1,SD1020975,45206
102,1,SD1020977,45206
102,1,SD1020980,56206
102,1,SD1020982,44331
102,1,SD1020987,45206
102,1,SD1020988,45206
102,1,SD1020993,45206
102,1,SD1021003,45206
102,1,SD1021005,45206
102,1,SD1021006,45206
102,1,SD1021009,45206
102,1,SD1021011,45206
102,1,SD1021014,45206
102,1,SD1021016,45206
102,1,SD1021019,45206
102,1,SD1021020,45206
102,1,SD1021021,45206
102,1,SD1021022,45206
102,1,SD1021025,57106
102,1,SD1021026,45206
102,1,SD1021037,45206
102,1,SD1021039,48206
102,1,SD1021041,45206
102,1,SD1021047,53206
102,1,SD1021049,56206
102,1,SD1021050,56206
102,1,SD1021052,45206
102,1,SD1021053,45206
102,1,SD1021055,24802
102,1,SD1021059,45206
102,1,SD1021069,45206
102,1,SD1021070,27595
